feature_fixed_acidity,feature_volatile_acidity,feature_citric_acid,feature_residual_sugar,feature_chlorides,feature_free_sulfur_dioxide,feature_total_sulfur_dioxide,feature_sulphates,feature_wine_type,intermediate_density,intermediate_ph,intermediate_alcohol,target_quality,ID_wine_type,ID_row
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.64,red,0.9955,3.39,9.4,6,red,52
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.56,red,0.997,3.2,9.4,5,red,53
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.63,red,0.9955,3.17,10.2,6,red,54
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.53,red,0.9978,3.34,9.5,5,red,55
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.63,red,0.9971,3.04,9.6,5,red,56
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.77,red,0.9983,3.26,9.4,5,red,57
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.59,red,0.9975,3.43,10.0,5,red,58
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.54,red,0.9962,3.41,9.4,6,red,59
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.64,red,0.998,3.44,9.2,5,red,60
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.71,red,0.9968,3.21,9.3,5,red,61
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.62,red,0.9968,3.38,9.5,7,red,62
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.57,red,0.9966,3.39,9.8,5,red,63
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.39,red,0.9962,3.41,10.9,5,red,64
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.39,red,0.9962,3.41,10.9,5,red,65
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.58,red,0.9968,3.42,9.6,5,red,66
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.58,red,0.9962,3.44,10.7,5,red,67
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.79,red,0.9969,3.28,10.7,5,red,68
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.95,red,0.9962,3.34,10.5,6,red,69
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.54,red,0.9967,3.32,9.5,6,red,70
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.48,red,0.9962,3.32,9.5,5,red,71
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.48,red,0.9961,3.31,9.5,5,red,72
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.53,red,0.9976,3.31,9.2,4,red,73
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.82,red,0.9984,3.28,9.6,5,red,74
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.66,red,0.9986,3.54,10.5,5,red,75
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.66,red,0.9986,3.54,10.5,5,red,76
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.55,red,0.9966,3.52,10.7,6,red,77
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.52,red,0.9958,3.38,10.1,5,red,78
8.3,0.625,0.2,1.5,0.08,27.0,119.0,1.12,red,0.9972,3.16,9.1,4,red,79
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.56,red,0.9958,3.41,9.2,5,red,80
7.8,0.43,0.7,1.9,0.464,22.0,67.0,1.28,red,0.9974,3.13,9.4,5,red,81
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.57,red,0.997,3.36,9.1,5,red,82
7.3,0.67,0.26,1.8,0.401,16.0,51.0,1.14,red,0.9969,3.16,9.4,5,red,83
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.78,red,0.9959,3.44,10.3,6,red,84
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.59,red,0.9961,3.41,10.1,5,red,85
8.6,0.49,0.28,1.9,0.11,20.0,136.0,1.95,red,0.9972,2.93,9.9,6,red,86
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.64,red,0.9966,3.39,9.6,5,red,87
9.3,0.39,0.44,2.1,0.107,34.0,125.0,1.22,red,0.9978,3.14,9.5,5,red,88
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.53,red,0.9978,3.48,9.0,5,red,89
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.54,red,0.9964,3.23,9.5,5,red,90
8.6,0.49,0.28,1.9,0.11,20.0,136.0,1.95,red,0.9972,2.93,9.9,6,red,91
8.6,0.49,0.29,2.0,0.11,19.0,133.0,1.98,red,0.9972,2.93,9.8,5,red,92
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.64,red,0.9966,3.39,9.6,5,red,93
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.48,red,0.9938,3.75,10.5,4,red,94
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.6,red,0.9932,3.85,12.9,6,red,95
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.56,red,0.9965,3.45,10.7,5,red,96
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.63,red,0.9963,3.25,9.2,5,red,97
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.56,red,0.9967,3.39,9.8,5,red,98
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.59,red,0.9972,3.3,9.0,6,red,99
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.61,red,0.9972,3.4,10.2,6,red,100
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.56,red,0.9959,3.31,10.4,6,red,101
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.59,red,0.9972,3.3,9.0,6,red,102
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.51,red,0.9967,3.29,9.2,5,red,103
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.48,red,0.996,3.33,9.4,5,red,104
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.51,red,0.9967,3.29,9.2,5,red,105
7.8,0.41,0.68,1.7,0.467,18.0,69.0,1.31,red,0.9973,3.08,9.3,5,red,106
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.79,red,0.9969,3.46,9.3,5,red,107
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.8,red,0.9976,3.37,9.6,6,red,108
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.69,red,0.9969,3.21,9.3,5,red,109
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.93,red,0.9964,3.19,9.5,5,red,110
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.66,red,0.9964,3.15,9.8,5,red,111
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.66,red,0.9964,3.15,9.8,5,red,112
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.67,red,0.9988,3.32,9.7,6,red,113
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.93,red,0.9964,3.19,9.5,5,red,114
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.63,red,0.9966,3.07,10.5,6,red,115
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.61,red,0.9978,3.39,10.0,6,red,116
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.5,red,0.997,3.37,9.4,6,red,117
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.6,red,0.9962,3.21,10.9,6,red,118
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.54,red,0.9959,3.34,9.2,6,red,119
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.57,red,0.9962,3.3,9.0,5,red,120
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.6,red,0.9962,3.21,10.9,6,red,121
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.52,red,0.998,3.49,9.2,5,red,122
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.53,red,0.9976,3.44,9.5,5,red,123
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.48,red,0.996,3.39,9.5,5,red,124
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.7,red,0.9984,3.16,9.4,5,red,125
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.49,red,0.9964,3.53,10.9,5,red,126
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.48,red,0.9964,3.54,10.9,5,red,127
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.92,red,0.9962,3.42,10.5,7,red,128
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.57,red,0.9955,3.42,9.4,5,red,129
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.66,red,0.9968,3.24,9.4,5,red,130
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.63,red,0.9937,3.63,13.0,5,red,131
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.63,red,0.9937,3.63,13.0,5,red,132
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.58,red,0.9952,3.4,9.8,6,red,133
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.55,red,0.9959,3.22,9.9,6,red,134
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.82,red,0.9965,3.19,9.6,5,red,135
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.77,red,0.9968,3.23,9.5,5,red,136
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.64,red,0.9972,3.48,9.2,5,red,137
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.54,red,0.9962,3.33,9.5,5,red,138
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.54,red,0.9962,3.32,9.5,5,red,139
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.82,red,0.9965,3.19,9.6,5,red,140
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.77,red,0.9968,3.23,9.5,5,red,141
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.79,red,0.9916,3.68,14.0,6,red,142
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.58,red,0.9954,3.34,9.4,5,red,143
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.79,red,0.9916,3.68,14.0,6,red,144
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.62,red,0.9968,3.17,9.4,5,red,145
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.52,red,0.9944,3.54,10.0,5,red,146
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.8,red,0.9968,3.11,9.3,5,red,147
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.58,red,0.9959,3.42,10.2,6,red,148
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.61,red,0.9975,3.53,10.5,6,red,149
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.53,red,0.9958,3.33,10.3,6,red,150
9.2,0.52,1.0,3.4,0.61,32.0,69.0,2.0,red,0.9996,2.74,9.4,4,red,151
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.54,red,0.995,3.35,10.1,5,red,152
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.54,red,0.995,3.35,10.1,5,red,153
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.72,red,0.9973,3.42,10.5,5,red,154
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.71,red,0.9973,3.42,10.5,5,red,155
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.72,red,0.9973,3.42,10.5,5,red,156
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.71,red,0.9973,3.42,10.5,5,red,157
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.5,red,0.9969,3.48,9.3,5,red,158
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.57,red,0.9968,3.59,9.3,6,red,159
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.56,red,0.9959,3.2,9.6,5,red,160
7.6,0.68,0.02,1.3,0.072,9.0,20.0,1.08,red,0.9965,3.17,9.2,4,red,161
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.56,red,0.9964,3.33,10.0,6,red,162
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.49,red,0.9982,3.37,9.4,5,red,163
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.49,red,0.9981,3.37,9.4,5,red,164
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.62,red,0.9961,3.19,9.5,5,red,165
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.52,red,0.9956,3.34,10.2,5,red,166
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.48,red,0.9956,3.37,9.0,4,red,167
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.55,red,0.9953,3.47,10.4,6,red,168
7.5,0.705,0.24,1.8,0.36,15.0,63.0,1.59,red,0.9964,3.0,9.5,5,red,169
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.33,red,0.9972,3.36,9.1,4,red,170
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.61,red,0.9972,3.29,9.2,6,red,171
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.61,red,0.9972,3.29,9.2,6,red,172
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.57,red,0.9961,3.42,11.5,6,red,173
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.47,red,0.9961,3.33,9.5,5,red,174
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.78,red,0.9958,3.35,9.5,5,red,175
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.47,red,0.9961,3.33,9.5,5,red,176
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.61,red,0.9972,3.58,10.5,6,red,177
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.56,red,0.9969,3.48,9.6,5,red,178
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.59,red,0.9969,3.19,9.5,5,red,179
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.59,red,0.9969,3.19,9.5,5,red,180
8.9,0.61,0.49,2.0,0.27,23.0,110.0,1.02,red,0.9972,3.12,9.3,5,red,181
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.52,red,0.9972,3.44,9.3,5,red,182
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.58,red,0.9971,3.54,9.3,5,red,183
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.58,red,0.997,3.52,9.3,6,red,184
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.53,red,0.9971,3.26,9.7,5,red,185
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.55,red,0.9972,3.34,9.2,5,red,186
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.49,red,0.9976,3.39,9.7,5,red,187
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.55,red,0.9968,3.2,9.5,5,red,188
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.55,red,0.9968,3.2,9.5,5,red,189
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.62,red,0.9976,3.23,9.4,5,red,190
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.62,red,0.9974,3.57,9.8,6,red,191
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.61,red,0.9969,3.28,9.5,5,red,192
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.55,red,0.9964,3.28,9.7,5,red,193
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.55,red,0.9964,3.28,9.7,5,red,194
7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.54,red,0.9968,3.25,9.4,5,red,195
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.59,red,0.9968,3.46,10.2,5,red,196
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.97,red,0.9981,3.11,10.1,6,red,197
5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.85,red,0.9924,3.57,13.0,7,red,198
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.43,red,0.9948,3.51,11.4,4,red,199
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.82,red,0.99695,3.22,10.3,7,red,200
8.8,0.37,0.48,2.1,0.097,39.0,145.0,1.03,red,0.9975,3.04,9.3,5,red,201
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.79,red,0.99545,3.36,9.5,5,red,202
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.55,red,0.9961,3.34,9.2,5,red,203
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.56,red,0.99615,3.34,9.2,6,red,204
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.77,red,0.9994,3.2,10.8,7,red,205
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.77,red,0.9994,3.2,10.8,7,red,206
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.53,red,0.99625,3.29,9.3,5,red,207
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.67,red,0.9966,3.22,9.4,5,red,208
11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.88,red,0.998,3.31,10.5,7,red,209
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.86,red,0.99585,3.3,12.4,6,red,210
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.56,red,0.99685,3.35,10.0,6,red,211
11.6,0.44,0.64,2.1,0.059,5.0,15.0,0.67,red,0.998,3.21,10.2,6,red,212
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.43,red,0.9959,3.3,10.1,5,red,213
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.71,red,0.9974,3.24,9.8,6,red,214
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.76,red,0.9974,3.34,10.5,5,red,215
8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.57,red,0.9962,3.14,11.0,5,red,216
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.55,red,0.9967,3.36,9.1,5,red,217
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.54,red,0.9957,3.39,9.7,5,red,218
7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.6,red,0.99655,3.3,9.5,5,red,219
7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.59,red,0.9964,3.34,9.4,6,red,220
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.57,red,0.9957,3.15,9.4,5,red,221
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.6,red,0.99525,3.42,9.5,5,red,222
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.6,red,0.99815,3.28,10.0,6,red,223
8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.57,red,0.99745,3.31,10.4,4,red,224
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.58,red,0.99615,3.37,10.5,6,red,225
8.9,0.59,0.5,2.0,0.337,27.0,81.0,1.61,red,0.9964,3.04,9.5,6,red,226
9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.63,red,0.9984,3.39,9.8,5,red,227
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.58,red,0.99615,3.37,10.5,6,red,228
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.5,red,0.99685,3.46,11.0,5,red,229
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.62,red,0.9927,3.54,12.2,7,red,230
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.52,red,0.99625,3.37,9.9,6,red,231
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.7,red,0.998,3.34,9.6,6,red,232
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.5,red,0.99685,3.46,11.0,5,red,233
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.55,red,0.99685,3.32,9.0,6,red,234
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.58,red,0.99675,3.37,9.0,6,red,235
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.58,red,0.99675,3.37,9.0,6,red,236
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.58,red,0.99675,3.37,9.2,6,red,237
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.58,red,0.99675,3.37,9.0,6,red,238
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.55,red,0.99685,3.32,9.0,6,red,239
8.9,0.635,0.37,1.7,0.263,5.0,62.0,1.09,red,0.9971,3.0,9.3,5,red,240
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.71,red,0.99925,3.14,10.9,6,red,241
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.49,red,0.99565,3.08,9.8,6,red,242
15.0,0.21,0.44,2.2,0.075,10.0,24.0,0.84,red,1.00005,3.07,9.2,7,red,243
15.0,0.21,0.44,2.2,0.075,10.0,24.0,0.84,red,1.00005,3.07,9.2,7,red,244
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.96,red,0.9983,3.61,9.9,6,red,245
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.52,red,0.99685,3.38,9.5,5,red,246
8.2,0.6,0.17,2.3,0.072,11.0,73.0,0.45,red,0.9963,3.2,9.3,5,red,247
7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.48,red,0.99615,3.35,9.8,6,red,248
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.96,red,0.9983,3.61,9.9,6,red,249
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.78,red,0.9985,3.22,10.0,6,red,250
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.7,red,0.9972,3.47,9.9,6,red,251
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.53,red,0.9986,3.17,10.5,5,red,252
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.59,red,0.9959,3.23,9.5,5,red,253
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.7,red,0.9972,3.47,9.9,6,red,254
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.57,red,0.99675,3.26,9.3,5,red,255
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.62,red,0.998,3.22,9.2,5,red,256
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.67,red,0.9968,3.49,9.2,5,red,257
7.7,0.41,0.76,1.8,0.611,8.0,45.0,1.26,red,0.9968,3.06,9.4,5,red,258
