feature_frequency,feature_angle_of_attack,feature_chord_length,feature_free_stream_velocity,intermediate_suction_side_displacement_thickness,target_scaled_sound_pressure_level,ID_row
2500,2.0,0.2286,71.3,0.00293031,127.006,251
3150,2.0,0.2286,71.3,0.00293031,126.116,252
4000,2.0,0.2286,71.3,0.00293031,124.086,253
5000,2.0,0.2286,71.3,0.00293031,122.816,254
6300,2.0,0.2286,71.3,0.00293031,120.786,255
8000,2.0,0.2286,71.3,0.00293031,115.996,256
10000,2.0,0.2286,71.3,0.00293031,113.086,257
400,2.0,0.2286,55.5,0.00313525,122.292,258
500,2.0,0.2286,55.5,0.00313525,124.692,259
630,2.0,0.2286,55.5,0.00313525,126.842,260
800,2.0,0.2286,55.5,0.00313525,128.492,261
1000,2.0,0.2286,55.5,0.00313525,129.002,262
1250,2.0,0.2286,55.5,0.00313525,128.762,263
1600,2.0,0.2286,55.5,0.00313525,126.752,264
2000,2.0,0.2286,55.5,0.00313525,124.612,265
2500,2.0,0.2286,55.5,0.00313525,123.862,266
3150,2.0,0.2286,55.5,0.00313525,123.742,267
4000,2.0,0.2286,55.5,0.00313525,122.232,268
5000,2.0,0.2286,55.5,0.00313525,120.472,269
6300,2.0,0.2286,55.5,0.00313525,118.712,270
315,2.0,0.2286,39.6,0.00346574,120.137,271
400,2.0,0.2286,39.6,0.00346574,122.147,272
500,2.0,0.2286,39.6,0.00346574,125.157,273
630,2.0,0.2286,39.6,0.00346574,127.417,274
800,2.0,0.2286,39.6,0.00346574,129.037,275
1000,2.0,0.2286,39.6,0.00346574,129.147,276
1250,2.0,0.2286,39.6,0.00346574,128.257,277
1600,2.0,0.2286,39.6,0.00346574,125.837,278
2000,2.0,0.2286,39.6,0.00346574,122.797,279
2500,2.0,0.2286,39.6,0.00346574,121.397,280
3150,2.0,0.2286,39.6,0.00346574,121.627,281
4000,2.0,0.2286,39.6,0.00346574,120.227,282
5000,2.0,0.2286,39.6,0.00346574,118.827,283
6300,2.0,0.2286,39.6,0.00346574,116.417,284
315,2.0,0.2286,31.7,0.00372371,120.147,285
400,2.0,0.2286,31.7,0.00372371,123.417,286
500,2.0,0.2286,31.7,0.00372371,126.677,287
630,2.0,0.2286,31.7,0.00372371,129.057,288
800,2.0,0.2286,31.7,0.00372371,130.307,289
1000,2.0,0.2286,31.7,0.00372371,130.307,290
1250,2.0,0.2286,31.7,0.00372371,128.677,291
1600,2.0,0.2286,31.7,0.00372371,125.797,292
2000,2.0,0.2286,31.7,0.00372371,123.037,293
2500,2.0,0.2286,31.7,0.00372371,121.407,294
3150,2.0,0.2286,31.7,0.00372371,121.527,295
4000,2.0,0.2286,31.7,0.00372371,120.527,296
5000,2.0,0.2286,31.7,0.00372371,118.267,297
6300,2.0,0.2286,31.7,0.00372371,115.137,298
500,4.0,0.2286,71.3,0.00400603,126.758,299
630,4.0,0.2286,71.3,0.00400603,129.038,300
800,4.0,0.2286,71.3,0.00400603,130.688,301
1000,4.0,0.2286,71.3,0.00400603,131.708,302
1250,4.0,0.2286,71.3,0.00400603,131.718,303
1600,4.0,0.2286,71.3,0.00400603,129.468,304
2000,4.0,0.2286,71.3,0.00400603,126.218,305
2500,4.0,0.2286,71.3,0.00400603,124.338,306
3150,4.0,0.2286,71.3,0.00400603,124.108,307
4000,4.0,0.2286,71.3,0.00400603,121.728,308
5000,4.0,0.2286,71.3,0.00400603,121.118,309
6300,4.0,0.2286,71.3,0.00400603,118.618,310
8000,4.0,0.2286,71.3,0.00400603,112.848,311
10000,4.0,0.2286,71.3,0.00400603,113.108,312
12500,4.0,0.2286,71.3,0.00400603,114.258,313
16000,4.0,0.2286,71.3,0.00400603,112.768,314
20000,4.0,0.2286,71.3,0.00400603,109.638,315
400,4.0,0.2286,55.5,0.0042862,123.274,316
500,4.0,0.2286,55.5,0.0042862,127.314,317
630,4.0,0.2286,55.5,0.0042862,129.964,318
800,4.0,0.2286,55.5,0.0042862,131.864,319
1000,4.0,0.2286,55.5,0.0042862,132.134,320
1250,4.0,0.2286,55.5,0.0042862,131.264,321
1600,4.0,0.2286,55.5,0.0042862,128.264,322
2000,4.0,0.2286,55.5,0.0042862,124.254,323
2500,4.0,0.2286,55.5,0.0042862,122.384,324
3150,4.0,0.2286,55.5,0.0042862,122.394,325
4000,4.0,0.2286,55.5,0.0042862,120.654,326
5000,4.0,0.2286,55.5,0.0042862,120.034,327
6300,4.0,0.2286,55.5,0.0042862,117.154,328
8000,4.0,0.2286,55.5,0.0042862,112.524,329
315,4.0,0.2286,39.6,0.00473801,122.229,330
400,4.0,0.2286,39.6,0.00473801,123.879,331
500,4.0,0.2286,39.6,0.00473801,127.039,332
630,4.0,0.2286,39.6,0.00473801,129.579,333
800,4.0,0.2286,39.6,0.00473801,130.469,334
1000,4.0,0.2286,39.6,0.00473801,129.969,335
1250,4.0,0.2286,39.6,0.00473801,128.339,336
1600,4.0,0.2286,39.6,0.00473801,125.319,337
2000,4.0,0.2286,39.6,0.00473801,121.659,338
2500,4.0,0.2286,39.6,0.00473801,119.649,339
3150,4.0,0.2286,39.6,0.00473801,120.419,340
4000,4.0,0.2286,39.6,0.00473801,119.159,341
5000,4.0,0.2286,39.6,0.00473801,117.649,342
6300,4.0,0.2286,39.6,0.00473801,114.249,343
8000,4.0,0.2286,39.6,0.00473801,113.129,344
250,4.0,0.2286,31.7,0.00509068,120.189,345
315,4.0,0.2286,31.7,0.00509068,123.609,346
400,4.0,0.2286,31.7,0.00509068,126.149,347
500,4.0,0.2286,31.7,0.00509068,128.939,348
630,4.0,0.2286,31.7,0.00509068,130.349,349
800,4.0,0.2286,31.7,0.00509068,130.869,350
1000,4.0,0.2286,31.7,0.00509068,129.869,351
1250,4.0,0.2286,31.7,0.00509068,128.119,352
1600,4.0,0.2286,31.7,0.00509068,125.229,353
2000,4.0,0.2286,31.7,0.00509068,122.089,354
2500,4.0,0.2286,31.7,0.00509068,120.209,355
3150,4.0,0.2286,31.7,0.00509068,120.229,356
4000,4.0,0.2286,31.7,0.00509068,118.859,357
5000,4.0,0.2286,31.7,0.00509068,115.969,358
6300,4.0,0.2286,31.7,0.00509068,112.699,359
400,5.3,0.2286,71.3,0.0051942,127.7,360
500,5.3,0.2286,71.3,0.0051942,129.88,361
630,5.3,0.2286,71.3,0.0051942,131.8,362
800,5.3,0.2286,71.3,0.0051942,133.48,363
1000,5.3,0.2286,71.3,0.0051942,134.0,364
1250,5.3,0.2286,71.3,0.0051942,133.38,365
1600,5.3,0.2286,71.3,0.0051942,130.46,366
2000,5.3,0.2286,71.3,0.0051942,125.89,367
2500,5.3,0.2286,71.3,0.0051942,123.74,368
3150,5.3,0.2286,71.3,0.0051942,123.12,369
4000,5.3,0.2286,71.3,0.0051942,120.33,370
5000,5.3,0.2286,71.3,0.0051942,118.05,371
6300,5.3,0.2286,71.3,0.0051942,116.92,372
8000,5.3,0.2286,71.3,0.0051942,114.9,373
10000,5.3,0.2286,71.3,0.0051942,111.35,374
250,5.3,0.2286,39.6,0.00614329,127.011,375
315,5.3,0.2286,39.6,0.00614329,129.691,376
400,5.3,0.2286,39.6,0.00614329,131.221,377
500,5.3,0.2286,39.6,0.00614329,132.251,378
630,5.3,0.2286,39.6,0.00614329,132.011,379
800,5.3,0.2286,39.6,0.00614329,129.491,380
1000,5.3,0.2286,39.6,0.00614329,125.581,381
1250,5.3,0.2286,39.6,0.00614329,125.721,382
1600,5.3,0.2286,39.6,0.00614329,123.081,383
2000,5.3,0.2286,39.6,0.00614329,117.911,384
2500,5.3,0.2286,39.6,0.00614329,116.151,385
3150,5.3,0.2286,39.6,0.00614329,118.441,386
4000,5.3,0.2286,39.6,0.00614329,115.801,387
5000,5.3,0.2286,39.6,0.00614329,115.311,388
6300,5.3,0.2286,39.6,0.00614329,112.541,389
200,7.3,0.2286,71.3,0.0104404,138.758,390
250,7.3,0.2286,71.3,0.0104404,139.918,391
315,7.3,0.2286,71.3,0.0104404,139.808,392
400,7.3,0.2286,71.3,0.0104404,139.438,393
500,7.3,0.2286,71.3,0.0104404,136.798,394
630,7.3,0.2286,71.3,0.0104404,133.768,395
800,7.3,0.2286,71.3,0.0104404,130.748,396
1000,7.3,0.2286,71.3,0.0104404,126.838,397
1250,7.3,0.2286,71.3,0.0104404,127.358,398
1600,7.3,0.2286,71.3,0.0104404,125.728,399
2000,7.3,0.2286,71.3,0.0104404,122.708,400
2500,7.3,0.2286,71.3,0.0104404,122.088,401
3150,7.3,0.2286,71.3,0.0104404,120.458,402
4000,7.3,0.2286,71.3,0.0104404,119.208,403
5000,7.3,0.2286,71.3,0.0104404,115.298,404
6300,7.3,0.2286,71.3,0.0104404,115.818,405
200,7.3,0.2286,55.5,0.0111706,135.234,406
250,7.3,0.2286,55.5,0.0111706,136.384,407
315,7.3,0.2286,55.5,0.0111706,136.284,408
400,7.3,0.2286,55.5,0.0111706,135.924,409
500,7.3,0.2286,55.5,0.0111706,133.174,410
630,7.3,0.2286,55.5,0.0111706,130.934,411
800,7.3,0.2286,55.5,0.0111706,128.444,412
1000,7.3,0.2286,55.5,0.0111706,125.194,413
1250,7.3,0.2286,55.5,0.0111706,125.724,414
1600,7.3,0.2286,55.5,0.0111706,123.354,415
2000,7.3,0.2286,55.5,0.0111706,120.354,416
2500,7.3,0.2286,55.5,0.0111706,118.994,417
3150,7.3,0.2286,55.5,0.0111706,117.134,418
4000,7.3,0.2286,55.5,0.0111706,117.284,419
5000,7.3,0.2286,55.5,0.0111706,113.144,420
6300,7.3,0.2286,55.5,0.0111706,111.534,421
200,7.3,0.2286,39.6,0.0123481,130.989,422
250,7.3,0.2286,39.6,0.0123481,131.889,423
315,7.3,0.2286,39.6,0.0123481,132.149,424
400,7.3,0.2286,39.6,0.0123481,132.039,425
500,7.3,0.2286,39.6,0.0123481,130.299,426
630,7.3,0.2286,39.6,0.0123481,128.929,427
800,7.3,0.2286,39.6,0.0123481,126.299,428
1000,7.3,0.2286,39.6,0.0123481,122.539,429
1250,7.3,0.2286,39.6,0.0123481,123.189,430
1600,7.3,0.2286,39.6,0.0123481,121.059,431
2000,7.3,0.2286,39.6,0.0123481,117.809,432
2500,7.3,0.2286,39.6,0.0123481,116.559,433
3150,7.3,0.2286,39.6,0.0123481,114.309,434
4000,7.3,0.2286,39.6,0.0123481,114.079,435
5000,7.3,0.2286,39.6,0.0123481,111.959,436
6300,7.3,0.2286,39.6,0.0123481,110.839,437
200,7.3,0.2286,31.7,0.0132672,128.679,438
250,7.3,0.2286,31.7,0.0132672,130.089,439
315,7.3,0.2286,31.7,0.0132672,130.239,440
400,7.3,0.2286,31.7,0.0132672,130.269,441
500,7.3,0.2286,31.7,0.0132672,128.169,442
630,7.3,0.2286,31.7,0.0132672,126.189,443
800,7.3,0.2286,31.7,0.0132672,123.209,444
1000,7.3,0.2286,31.7,0.0132672,119.099,445
1250,7.3,0.2286,31.7,0.0132672,120.509,446
1600,7.3,0.2286,31.7,0.0132672,119.039,447
2000,7.3,0.2286,31.7,0.0132672,115.309,448
2500,7.3,0.2286,31.7,0.0132672,114.709,449
3150,7.3,0.2286,31.7,0.0132672,113.229,450
4000,7.3,0.2286,31.7,0.0132672,112.639,451
5000,7.3,0.2286,31.7,0.0132672,111.029,452
6300,7.3,0.2286,31.7,0.0132672,110.689,453
800,0.0,0.1524,71.3,0.0015988,125.817,454
1000,0.0,0.1524,71.3,0.0015988,127.307,455
1250,0.0,0.1524,71.3,0.0015988,128.927,456
1600,0.0,0.1524,71.3,0.0015988,129.667,457
2000,0.0,0.1524,71.3,0.0015988,128.647,458
2500,0.0,0.1524,71.3,0.0015988,128.127,459
3150,0.0,0.1524,71.3,0.0015988,129.377,460
4000,0.0,0.1524,71.3,0.0015988,128.857,461
5000,0.0,0.1524,71.3,0.0015988,126.457,462
6300,0.0,0.1524,71.3,0.0015988,125.427,463
8000,0.0,0.1524,71.3,0.0015988,122.527,464
10000,0.0,0.1524,71.3,0.0015988,120.247,465
12500,0.0,0.1524,71.3,0.0015988,117.087,466
16000,0.0,0.1524,71.3,0.0015988,113.297,467
500,0.0,0.1524,55.5,0.00172668,120.573,468
630,0.0,0.1524,55.5,0.00172668,123.583,469
800,0.0,0.1524,55.5,0.00172668,126.713,470
1000,0.0,0.1524,55.5,0.00172668,128.583,471
1250,0.0,0.1524,55.5,0.00172668,129.953,472
1600,0.0,0.1524,55.5,0.00172668,130.183,473
2000,0.0,0.1524,55.5,0.00172668,129.673,474
2500,0.0,0.1524,55.5,0.00172668,127.763,475
3150,0.0,0.1524,55.5,0.00172668,127.753,476
4000,0.0,0.1524,55.5,0.00172668,127.233,477
5000,0.0,0.1524,55.5,0.00172668,125.203,478
6300,0.0,0.1524,55.5,0.00172668,123.303,479
8000,0.0,0.1524,55.5,0.00172668,121.903,480
10000,0.0,0.1524,55.5,0.00172668,119.253,481
12500,0.0,0.1524,55.5,0.00172668,117.093,482
16000,0.0,0.1524,55.5,0.00172668,112.803,483
500,0.0,0.1524,39.6,0.00193287,119.513,484
630,0.0,0.1524,39.6,0.00193287,124.403,485
800,0.0,0.1524,39.6,0.00193287,127.903,486
1000,0.0,0.1524,39.6,0.00193287,130.033,487
1250,0.0,0.1524,39.6,0.00193287,131.023,488
1600,0.0,0.1524,39.6,0.00193287,131.013,489
2000,0.0,0.1524,39.6,0.00193287,129.633,490
2500,0.0,0.1524,39.6,0.00193287,126.863,491
3150,0.0,0.1524,39.6,0.00193287,125.603,492
4000,0.0,0.1524,39.6,0.00193287,125.343,493
5000,0.0,0.1524,39.6,0.00193287,123.453,494
6300,0.0,0.1524,39.6,0.00193287,121.313,495
8000,0.0,0.1524,39.6,0.00193287,120.553,496
10000,0.0,0.1524,39.6,0.00193287,115.413,497
500,0.0,0.1524,31.7,0.00209405,121.617,498
630,0.0,0.1524,31.7,0.00209405,125.997,499
