feature_temperature,feature_relative_humidity,feature_absolute_humidity,feature_hour_sin,feature_hour_cos,feature_dayofweek_sin,feature_dayofweek_cos,intermediate_sensor_co,intermediate_sensor_nmhc,intermediate_sensor_nox,intermediate_sensor_no2,intermediate_sensor_o3,target_co,target_benzene,target_nox,target_no2,split
11.0,56.2,0.7366,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,1066.0,512.0,1918.0,1182.0,422.0,0.7,1.1,16.0,28.0,train
10.5,58.1,0.7353,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1052.0,553.0,1738.0,1221.0,472.0,0.7,1.6,34.0,48.0,train
10.2,59.6,0.7417,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1144.0,667.0,1490.0,1339.0,730.0,1.1,3.2,98.0,82.0,train
10.8,57.4,0.7408,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,1333.0,900.0,1136.0,1517.0,1102.0,2.0,8.0,174.0,112.0,train
10.5,60.6,0.7691,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,1351.0,960.0,1079.0,1583.0,1028.0,2.2,9.5,129.0,101.0,train
10.8,58.4,0.7552,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,1233.0,827.0,1218.0,1446.0,860.0,1.7,6.3,112.0,98.0,train
10.5,57.9,0.7352,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,1179.0,762.0,1328.0,1362.0,671.0,1.5,5.0,95.0,92.0,train
9.5,66.8,0.7951,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1236.0,774.0,1301.0,1401.0,664.0,1.6,5.2,104.0,95.0,train
8.3,76.4,0.8393,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,1286.0,869.0,1162.0,1537.0,799.0,1.9,7.3,146.0,112.0,train
8.0,81.1,0.8736,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,1371.0,1034.0,983.0,1730.0,1037.0,2.9,11.5,207.0,128.0,train
8.3,79.8,0.8778,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,1310.0,933.0,1082.0,1647.0,946.0,2.2,8.8,184.0,126.0,train
9.7,71.2,0.8569,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,1292.0,912.0,1103.0,1591.0,957.0,2.2,8.3,193.0,131.0,train
9.8,67.6,0.8185,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1383.0,1020.0,1008.0,1719.0,1104.0,2.9,11.2,243.0,135.0,train
10.3,64.2,0.8065,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1581.0,1319.0,799.0,2083.0,1409.0,4.8,20.8,281.0,151.0,train
9.7,69.3,0.8319,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1776.0,1488.0,702.0,2333.0,1704.0,6.9,27.4,383.0,172.0,train
9.6,67.8,0.8133,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1640.0,1404.0,743.0,2191.0,1654.0,6.1,24.0,351.0,165.0,train
9.1,64.0,0.7419,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,1313.0,1076.0,957.0,1707.0,1285.0,3.9,12.8,240.0,136.0,train
8.2,63.4,0.6905,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,965.0,749.0,1325.0,1333.0,821.0,1.5,4.7,94.0,85.0,train
8.2,60.8,0.6657,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,913.0,629.0,1565.0,1252.0,552.0,1.0,2.6,47.0,53.0,train
8.3,58.5,0.6438,0.0,1.0,-0.433883739117558,-0.9009688679024191,1080.0,805.0,1254.0,1375.0,816.0,1.7,5.9,122.0,97.0,train
7.7,59.7,0.6308,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,1044.0,829.0,1247.0,1378.0,832.0,1.9,6.4,133.0,110.0,train
7.1,61.8,0.6276,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,988.0,718.0,1396.0,1304.0,692.0,1.4,4.1,82.0,91.0,train
7.0,62.3,0.6261,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,889.0,574.0,1680.0,1187.0,512.0,0.8,1.9,,,train
6.1,65.9,0.6248,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,831.0,506.0,1893.0,1134.0,384.0,,1.1,21.0,32.0,train
6.3,65.0,0.6233,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,847.0,501.0,1895.0,1155.0,394.0,0.6,1.0,30.0,44.0,train
6.8,62.9,0.6234,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,927.0,571.0,1685.0,1223.0,487.0,0.8,1.8,56.0,71.0,train
6.4,65.1,0.6316,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1091.0,730.0,1387.0,1361.0,748.0,1.4,4.4,109.0,104.0,train
7.3,63.1,0.6499,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,1587.0,1236.0,897.0,1900.0,1400.0,4.4,17.9,307.0,141.0,train
9.2,56.2,0.6561,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,1545.0,1353.0,767.0,2058.0,1588.0,,22.1,,,train
13.2,41.7,0.632,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1350.0,1118.0,912.0,1712.0,1237.0,3.1,14.0,187.0,122.0,train
14.3,38.4,0.6243,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,1263.0,1037.0,969.0,1598.0,1167.0,2.7,11.6,216.0,143.0,train
15.0,36.5,0.6195,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1206.0,986.0,1035.0,1537.0,959.0,2.1,10.2,143.0,113.0,train
16.1,34.5,0.6262,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,1252.0,1016.0,1008.0,1593.0,983.0,2.5,11.0,160.0,116.0,train
16.3,35.7,0.656,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,1287.0,1078.0,949.0,1660.0,1061.0,2.7,12.8,163.0,123.0,train
15.8,37.0,0.661,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,1353.0,1122.0,922.0,1740.0,1139.0,2.9,14.2,190.0,126.0,train
15.9,37.2,0.6657,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1309.0,1073.0,954.0,1657.0,1112.0,2.8,12.7,178.0,120.0,train
16.9,34.3,0.6549,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,1274.0,1041.0,1006.0,1610.0,994.0,2.4,11.7,150.0,119.0,train
15.1,39.6,0.6766,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,1510.0,1277.0,812.0,1910.0,1410.0,3.9,19.3,206.0,149.0,train
14.4,43.4,0.7084,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,1525.0,1246.0,821.0,1847.0,1448.0,3.7,18.2,202.0,145.0,train
12.9,50.5,0.7478,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1843.0,1610.0,624.0,2390.0,1887.0,6.6,32.6,340.0,170.0,train
12.1,53.3,0.7536,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,1598.0,1299.0,752.0,1941.0,1627.0,4.4,20.1,274.0,149.0,train
11.0,59.1,0.774,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,1484.0,1127.0,839.0,1723.0,1491.0,3.5,14.3,253.0,139.0,train
9.7,64.6,0.7771,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1677.0,1346.0,741.0,2062.0,1657.0,5.4,21.8,300.0,134.0,train
9.5,64.1,0.7597,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1280.0,964.0,963.0,1544.0,1285.0,2.7,9.6,193.0,113.0,train
9.1,63.9,0.7423,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1196.0,873.0,1071.0,1463.0,1144.0,1.9,7.4,139.0,97.0,train
8.8,63.9,0.7256,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1184.0,782.0,1176.0,1365.0,1043.0,1.6,5.4,83.0,82.0,train
7.8,67.5,0.7173,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,1172.0,783.0,1179.0,1380.0,996.0,1.7,5.4,,,train
7.0,71.1,0.7158,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1147.0,821.0,1132.0,1412.0,992.0,,6.2,109.0,83.0,train
8.3,63.6,0.6982,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,978.0,625.0,1420.0,1274.0,819.0,1.0,2.6,62.0,65.0,train
7.2,67.5,0.6887,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1100.0,646.0,1406.0,1268.0,835.0,1.2,2.9,53.0,60.0,train
6.3,71.9,0.6932,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1112.0,770.0,1228.0,1409.0,940.0,1.5,5.1,139.0,77.0,train
6.5,71.6,0.6945,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1336.0,1043.0,935.0,1678.0,1192.0,2.7,11.8,256.0,96.0,train
9.6,59.7,0.7124,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,1408.0,1153.0,830.0,1777.0,1411.0,3.7,15.1,295.0,119.0,train
12.4,51.2,0.7335,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1447.0,1081.0,869.0,1667.0,1465.0,3.2,12.9,250.0,126.0,train
15.6,42.2,0.7451,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1542.0,1184.0,808.0,1780.0,1583.0,4.1,16.1,296.0,158.0,train
18.4,33.8,0.709,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1451.0,1117.0,875.0,1679.0,1387.0,3.6,14.0,239.0,161.0,train
19.4,31.3,0.695,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1328.0,1059.0,987.0,1600.0,1101.0,2.8,12.3,153.0,124.0,train
18.0,34.8,0.7127,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1207.0,924.0,1088.0,1488.0,850.0,2.0,8.6,118.0,102.0,train
18.4,33.6,0.7042,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1240.0,947.0,1049.0,1532.0,947.0,2.0,9.2,119.0,116.0,train
17.6,35.1,0.7012,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1306.0,987.0,1004.0,1554.0,1078.0,2.5,10.2,138.0,124.0,train
16.7,37.8,0.7117,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1326.0,1000.0,976.0,1602.0,1084.0,2.3,10.6,148.0,125.0,train
16.1,41.0,0.7451,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1473.0,1163.0,831.0,1779.0,1395.0,3.2,15.5,227.0,148.0,train
15.8,42.4,0.7569,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1609.0,1286.0,758.0,1922.0,1612.0,4.2,19.6,277.0,165.0,train
15.7,44.1,0.7786,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1611.0,1274.0,754.0,1915.0,1697.0,4.2,19.2,279.0,161.0,train
15.3,46.8,0.8091,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1621.0,1247.0,762.0,1860.0,1886.0,4.2,18.3,283.0,159.0,train
14.6,48.6,0.806,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1444.0,1089.0,844.0,1748.0,1624.0,3.1,13.1,214.0,143.0,train
14.7,49.3,0.8193,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,1418.0,1010.0,892.0,1603.0,1536.0,2.6,10.9,172.0,130.0,train
13.9,53.6,0.8498,0.0,1.0,-0.7818314824680299,0.6234898018587334,1534.0,1013.0,889.0,1611.0,1535.0,2.9,11.0,190.0,129.0,train
14.6,51.5,0.8536,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1484.0,1045.0,880.0,1624.0,1530.0,2.8,11.9,174.0,119.0,train
12.5,58.9,0.8537,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1367.0,925.0,953.0,1543.0,1337.0,2.5,8.6,128.0,104.0,train
11.6,63.4,0.8674,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1344.0,968.0,921.0,1620.0,1278.0,2.4,9.7,,,train
12.1,61.1,0.8603,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1130.0,773.0,1130.0,1452.0,1051.0,,5.2,70.0,82.0,train
11.5,63.1,0.8533,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,1062.0,691.0,1272.0,1377.0,929.0,1.2,3.7,53.0,70.0,train
11.6,62.2,0.8473,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1076.0,618.0,1395.0,1333.0,872.0,1.0,2.5,44.0,63.0,train
10.4,67.6,0.853,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1028.0,615.0,1384.0,1340.0,853.0,0.9,2.4,74.0,67.0,train
11.6,62.7,0.853,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1155.0,722.0,1225.0,1414.0,959.0,1.4,4.2,101.0,84.0,train
12.4,60.0,0.8627,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,1235.0,828.0,1055.0,1527.0,1093.0,1.6,6.4,118.0,83.0,train
14.5,53.1,0.8728,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,1332.0,923.0,952.0,1614.0,1225.0,2.2,8.6,144.0,98.0,train
16.9,46.1,0.8789,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1445.0,1009.0,878.0,1696.0,1355.0,2.8,10.9,176.0,114.0,train
19.3,38.3,0.8474,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1416.0,1002.0,907.0,1677.0,1262.0,2.8,10.7,161.0,119.0,train
21.2,31.4,0.7812,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,1281.0,880.0,1084.0,1525.0,980.0,2.0,7.5,113.0,104.0,train
21.4,30.2,0.7616,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1207.0,879.0,1104.0,1490.0,872.0,1.8,7.5,103.0,102.0,train
21.9,29.0,0.7525,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,1258.0,906.0,1081.0,1511.0,900.0,1.9,8.2,112.0,107.0,train
22.2,28.4,0.7516,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1458.0,1045.0,974.0,1646.0,1099.0,3.0,11.9,170.0,129.0,train
21.3,30.8,0.7696,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1438.0,1051.0,943.0,1668.0,1206.0,2.9,12.0,180.0,128.0,train
19.7,36.7,0.8307,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,1478.0,1055.0,929.0,1671.0,1262.0,2.5,12.2,160.0,121.0,train
18.4,41.7,0.8732,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,1808.0,1312.0,753.0,1993.0,1698.0,4.6,20.6,261.0,157.0,train
17.6,46.1,0.921,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1898.0,1381.0,681.0,2103.0,1905.0,5.9,23.1,325.0,173.0,train
16.7,49.6,0.932,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1560.0,1140.0,784.0,1818.0,1648.0,3.4,14.7,217.0,146.0,train
16.3,51.0,0.9341,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1324.0,940.0,924.0,1587.0,1423.0,2.1,9.0,146.0,121.0,train
14.7,55.9,0.9314,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,1349.0,933.0,933.0,1617.0,1349.0,2.2,8.8,152.0,119.0,train
14.8,54.7,0.9164,0.0,1.0,0.0,1.0,1239.0,872.0,985.0,1547.0,1250.0,1.8,7.4,104.0,99.0,train
14.0,57.0,0.9094,0.25881904510252074,0.9659258262890683,0.0,1.0,1239.0,853.0,1010.0,1543.0,1174.0,1.8,6.9,106.0,93.0,train
13.4,61.3,0.9361,0.49999999999999994,0.8660254037844387,0.0,1.0,1224.0,855.0,998.0,1566.0,1149.0,1.8,7.0,108.0,88.0,train
12.6,63.5,0.923,0.7071067811865475,0.7071067811865476,0.0,1.0,1078.0,734.0,1128.0,1487.0,1021.0,1.1,4.4,,,train
12.3,65.4,0.9351,0.8660254037844386,0.5000000000000001,0.0,1.0,1078.0,711.0,1150.0,1468.0,1013.0,,4.0,66.0,71.0,train
11.9,67.4,0.9375,0.9659258262890683,0.25881904510252074,0.0,1.0,1075.0,703.0,1156.0,1464.0,1010.0,1.0,3.9,88.0,74.0,train
11.4,70.5,0.9475,1.0,6.123233995736766e-17,0.0,1.0,1157.0,830.0,1030.0,1584.0,1083.0,1.4,6.4,138.0,80.0,train
11.3,70.2,0.9401,0.9659258262890683,-0.25881904510252063,0.0,1.0,1314.0,966.0,897.0,1710.0,1235.0,2.2,9.7,228.0,89.0,train
12.4,63.9,0.917,0.8660254037844387,-0.4999999999999998,0.0,1.0,1797.0,1451.0,652.0,2323.0,1680.0,5.5,25.9,360.0,114.0,train
14.8,54.3,0.9076,0.7071067811865476,-0.7071067811865475,0.0,1.0,1961.0,1701.0,537.0,2665.0,2184.0,8.1,36.7,478.0,149.0,train
17.4,45.6,0.8993,0.49999999999999994,-0.8660254037844387,0.0,1.0,1771.0,1470.0,622.0,2262.0,1973.0,5.8,26.6,394.0,157.0,train
19.8,38.5,0.8801,0.258819045102521,-0.9659258262890682,0.0,1.0,1564.0,1300.0,710.0,2029.0,1798.0,4.2,20.1,319.0,155.0,train
22.0,34.1,0.8904,1.2246467991473532e-16,-1.0,0.0,1.0,1430.0,1120.0,831.0,1783.0,1522.0,3.1,14.1,201.0,134.0,train
23.3,32.2,0.9096,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1417.0,1146.0,830.0,1831.0,1404.0,2.9,14.9,171.0,119.0,train
23.9,30.0,0.8757,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1400.0,1162.0,838.0,1829.0,1263.0,2.9,15.4,159.0,111.0,train
24.4,28.9,0.8736,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1317.0,1053.0,926.0,1707.0,1137.0,2.5,12.1,153.0,104.0,train
24.4,29.4,0.8848,-0.8660254037844384,-0.5000000000000004,0.0,1.0,1318.0,1033.0,950.0,1675.0,1068.0,2.3,11.5,143.0,99.0,train
23.8,31.3,0.9137,-0.9659258262890683,-0.25881904510252063,0.0,1.0,1445.0,1141.0,857.0,1824.0,1252.0,2.8,14.8,156.0,110.0,train
22.5,35.4,0.9547,-1.0,-1.8369701987210297e-16,0.0,1.0,1917.0,1601.0,631.0,2447.0,1843.0,6.1,32.1,314.0,162.0,train
20.4,42.5,1.0086,-0.9659258262890684,0.2588190451025203,0.0,1.0,2040.0,1754.0,542.0,2679.0,2122.0,8.0,39.2,404.0,187.0,train
18.3,52.6,1.0945,-0.8660254037844386,0.5000000000000001,0.0,1.0,1895.0,1573.0,565.0,2443.0,1992.0,6.5,31.0,320.0,165.0,train
16.7,57.4,1.0786,-0.7071067811865477,0.7071067811865474,0.0,1.0,1595.0,1294.0,678.0,2058.0,1707.0,4.2,19.9,256.0,145.0,train
15.7,60.2,1.0654,-0.5000000000000004,0.8660254037844384,0.0,1.0,1439.0,1159.0,764.0,1856.0,1494.0,3.2,15.3,193.0,125.0,train
15.3,61.4,1.058,-0.25881904510252157,0.9659258262890681,0.0,1.0,1142.0,852.0,1008.0,1547.0,1164.0,1.4,6.9,89.0,101.0,train
14.1,65.7,1.0494,0.0,1.0,0.7818314824680298,0.6234898018587336,1304.0,1019.0,852.0,1731.0,1272.0,2.1,11.1,127.0,103.0,train
14.8,60.6,1.0148,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,1074.0,784.0,1098.0,1483.0,1040.0,1.2,5.4,79.0,88.0,train
14.8,59.2,0.9879,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,968.0,640.0,1320.0,1386.0,867.0,0.8,2.8,43.0,61.0,train
13.6,62.1,0.9636,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,929.0,608.0,1376.0,1364.0,826.0,0.7,2.3,,,train
12.3,66.2,0.945,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,941.0,626.0,1316.0,1373.0,840.0,,2.6,59.0,59.0,train
12.8,63.2,0.9283,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,937.0,585.0,1412.0,1348.0,793.0,0.6,2.0,38.0,52.0,train
11.2,68.5,0.9081,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,1017.0,681.0,1246.0,1418.0,870.0,0.9,3.5,82.0,64.0,train
11.0,66.5,0.8705,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1171.0,770.0,1162.0,1467.0,930.0,1.3,5.1,99.0,70.0,train
11.7,63.7,0.8719,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1541.0,1185.0,770.0,1889.0,1407.0,3.4,16.2,263.0,97.0,train
13.6,56.3,0.8743,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,1539.0,1287.0,698.0,2055.0,1507.0,3.7,19.7,229.0,95.0,train
17.8,42.9,0.8672,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1735.0,1431.0,628.0,2211.0,1843.0,5.3,25.1,396.0,150.0,train
21.4,33.3,0.8417,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,1571.0,1297.0,730.0,1973.0,1729.0,4.1,20.0,314.0,162.0,train
24.4,27.4,0.8231,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,1452.0,1250.0,776.0,1868.0,1583.0,3.3,18.3,217.0,154.0,train
25.3,26.1,0.8264,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,1579.0,1359.0,724.0,1998.0,1671.0,4.0,22.3,252.0,161.0,train
25.8,23.2,0.7589,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,1466.0,1309.0,773.0,1897.0,1491.0,3.8,20.4,263.0,161.0,train
27.0,20.2,0.7094,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,1280.0,1136.0,893.0,1675.0,1240.0,2.8,14.6,180.0,128.0,train
28.2,18.6,0.7014,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1407.0,1197.0,905.0,1759.0,1313.0,2.9,16.6,184.0,129.0,train
28.0,19.1,0.7098,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1389.0,1173.0,898.0,1739.0,1363.0,2.9,15.8,190.0,133.0,train
23.9,25.7,0.7519,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,1447.0,1235.0,859.0,1778.0,1296.0,3.4,17.8,184.0,139.0,train
21.3,34.8,0.873,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1551.0,1271.0,800.0,1875.0,1432.0,3.9,19.1,181.0,137.0,train
20.4,36.7,0.8704,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1474.0,1173.0,854.0,1776.0,1432.0,3.2,15.8,166.0,143.0,train
19.0,41.3,0.9007,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1800.0,1426.0,700.0,2106.0,2034.0,5.1,24.9,317.0,177.0,train
17.9,45.9,0.9342,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1379.0,1101.0,818.0,1710.0,1602.0,2.6,13.5,184.0,138.0,train
16.7,48.9,0.9226,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,1201.0,943.0,935.0,1560.0,1362.0,1.7,9.1,130.0,117.0,train
15.5,52.9,0.9271,0.0,1.0,0.9749279121818236,-0.22252093395631434,1205.0,925.0,922.0,1547.0,1314.0,1.7,8.6,132.0,107.0,train
15.5,51.9,0.9059,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1072.0,784.0,1066.0,1442.0,1114.0,1.2,5.4,95.0,90.0,train
14.1,55.6,0.891,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,998.0,714.0,1169.0,1383.0,992.0,0.9,4.1,70.0,79.0,train
