feature_ambient_temperature,feature_exhaust_vacuum,feature_relative_humidity,intermediate_ambient_pressure,target_net_hourly_electrical_energy,ID_row
15.07,39.3,63.62,1019.0,464.7,86
32.72,69.75,49.35,1009.6,437.99,87
18.23,58.96,69.61,1015.55,459.12,88
35.56,68.94,38.75,1006.56,429.69,89
18.36,51.43,90.17,1010.57,459.8,90
26.35,64.05,81.24,1009.81,433.63,91
25.92,60.95,48.46,1014.62,442.84,92
8.01,41.66,76.72,1014.49,485.13,93
19.63,52.72,51.16,1025.09,459.12,94
20.02,67.32,76.34,1012.05,445.31,95
10.08,40.72,67.3,1022.7,480.8,96
27.23,66.48,52.38,1005.23,432.55,97
23.37,63.77,76.44,1013.42,443.86,98
18.74,59.21,91.55,1018.3,449.77,99
14.81,43.69,71.9,1017.19,470.71,100
23.1,51.3,80.05,1011.93,452.17,101
10.72,41.38,63.77,1021.6,478.29,102
29.46,71.94,62.26,1006.96,428.54,103
8.1,40.64,89.04,1020.66,478.27,104
27.29,62.66,58.02,1007.63,439.58,105
17.1,49.69,81.82,1005.53,457.32,106
11.49,44.2,91.14,1018.79,475.51,107
23.69,65.59,88.92,1010.85,439.66,108
13.51,40.89,84.83,1011.03,471.99,109
9.64,39.35,91.76,1015.1,479.81,110
25.65,78.92,86.56,1010.83,434.78,111
21.59,61.87,57.21,1011.18,446.58,112
27.98,58.33,54.25,1013.92,437.76,113
18.8,39.72,63.8,1001.24,459.36,114
18.28,44.71,33.71,1016.99,462.28,115
13.55,43.48,67.25,1016.08,464.33,116
22.99,46.21,60.11,1010.71,444.36,117
23.94,59.39,74.55,1014.32,438.64,118
13.74,34.03,67.34,1018.69,470.49,119
21.3,41.1,42.75,1001.86,455.13,120
27.54,66.93,55.2,1017.06,450.22,121
24.81,63.73,83.61,1009.34,440.43,122
4.97,42.85,88.78,1014.02,482.98,123
15.22,50.88,100.12,1014.19,460.44,124
23.88,54.2,64.52,1012.81,444.97,125
33.01,68.67,51.41,1005.2,433.94,126
25.98,73.18,85.78,1012.28,439.73,127
28.18,73.88,75.41,1005.89,434.48,128
21.67,60.84,81.63,1017.93,442.33,129
17.67,45.09,51.92,1014.26,457.67,130
21.37,57.76,70.12,1018.8,454.66,131
28.69,67.25,53.83,1017.71,432.21,132
16.61,43.77,77.23,1012.25,457.66,133
27.91,63.76,65.67,1010.27,435.21,134
20.97,47.43,71.18,1007.64,448.22,135
10.8,41.66,81.96,1013.79,475.51,136
20.61,62.91,79.54,1013.24,446.53,137
25.45,57.32,47.09,1011.7,441.3,138
30.16,69.34,57.69,1007.67,433.54,139
4.99,39.04,78.89,1020.45,472.52,140
10.51,44.78,85.29,1012.59,474.77,141
33.79,69.05,40.13,1001.62,435.1,142
21.34,59.8,77.06,1016.92,450.74,143
23.4,65.06,67.38,1014.32,442.7,144
32.21,68.14,62.44,1003.34,426.56,145
14.26,42.32,77.43,1016.0,463.71,146
27.71,66.93,58.77,1016.85,447.06,147
21.95,57.76,67.72,1018.02,452.27,148
25.76,63.94,42.14,1018.49,445.78,149
23.68,68.3,84.16,1017.93,438.65,150
8.28,40.77,89.79,1011.55,480.15,151
23.44,62.52,67.21,1016.46,447.19,152
25.32,48.41,72.14,1008.47,443.04,153
3.94,39.9,97.49,1008.06,488.81,154
17.3,57.76,87.74,1016.26,455.75,155
18.2,49.39,96.3,1018.83,455.86,156
21.43,46.97,61.25,1013.94,457.68,157
11.16,40.05,88.38,1014.95,479.11,158
30.38,74.16,74.77,1007.44,432.84,159
23.36,62.52,68.18,1016.18,448.37,160
21.69,47.45,77.2,1007.56,447.06,161
23.62,49.21,49.54,1014.1,443.53,162
21.87,61.45,92.22,1011.13,445.21,163
29.25,66.51,33.65,1015.53,441.7,164
20.03,66.86,64.59,1013.05,450.93,165
18.14,49.78,100.09,1002.95,451.44,166
24.23,56.89,68.04,1012.32,441.29,167
18.11,44.85,48.94,1014.48,458.85,168
6.57,43.65,74.47,1018.24,481.46,169
12.56,43.41,81.02,1016.93,467.19,170
13.4,41.58,71.17,1020.5,461.54,171
27.1,52.84,53.85,1006.28,439.08,172
14.28,42.74,70.67,1028.79,467.22,173
16.29,44.34,59.36,1019.49,468.8,174
31.24,71.98,57.17,1004.66,426.93,175
10.57,37.73,70.29,1024.36,474.65,176
13.8,44.21,83.37,1022.93,468.97,177
25.3,71.58,87.36,1010.18,433.97,178
18.06,50.16,100.09,1009.52,450.53,179
25.42,59.04,68.78,1011.98,444.51,180
15.07,40.69,70.98,1015.29,469.03,181
11.75,71.14,75.68,1019.36,466.56,182
20.23,52.05,47.49,1012.15,457.57,183
27.31,59.54,71.99,1006.24,440.13,184
28.57,69.84,66.55,1003.57,433.24,185
17.9,43.72,74.73,1008.64,452.55,186
23.83,71.37,64.78,1002.04,443.29,187
27.92,74.99,75.13,1005.47,431.76,188
17.34,44.78,56.38,1007.81,454.97,189
17.94,63.07,94.35,1012.42,456.7,190
6.4,39.9,86.55,1007.75,486.03,191
11.78,39.96,82.95,1011.37,472.79,192
20.28,57.25,88.42,1010.12,452.03,193
21.04,54.2,85.61,1012.26,443.41,194
25.11,67.32,58.39,1014.49,441.93,195
30.28,70.98,74.28,1007.51,432.64,196
8.14,36.24,87.85,1013.15,480.25,197
16.86,39.63,83.5,1004.47,466.68,198
6.25,40.07,65.24,1020.19,494.39,199
22.35,54.42,75.01,1012.46,454.72,200
17.98,56.85,84.52,1012.28,448.71,201
21.19,42.48,80.52,1013.43,469.76,202
20.94,44.89,75.14,1009.64,450.71,203
24.23,58.79,75.75,1009.8,444.01,204
19.18,58.2,76.72,1017.46,453.2,205
20.88,57.85,85.47,1012.39,450.87,206
23.67,63.86,57.95,1019.67,441.73,207
14.12,39.52,78.32,1018.41,465.09,208
25.23,64.63,52.2,1020.59,447.28,209
6.54,39.33,93.69,1011.54,491.16,210
20.08,62.52,75.74,1017.99,450.98,211
24.67,63.56,67.56,1013.75,446.3,212
27.82,79.74,69.46,1008.37,436.48,213
15.55,42.03,74.58,1017.41,460.84,214
24.26,69.51,53.23,1013.43,442.56,215
13.45,41.49,88.72,1020.19,467.3,216
11.06,40.64,96.16,1021.47,479.13,217
24.91,52.3,68.26,1008.72,441.15,218
22.39,59.04,86.39,1011.78,445.52,219
11.95,40.69,85.34,1015.62,475.4,220
14.85,40.69,72.64,1014.91,469.3,221
10.11,41.62,97.82,1017.17,463.57,222
23.67,68.67,77.22,1006.71,445.32,223
16.14,44.21,80.59,1020.36,461.03,224
15.11,43.13,46.91,1014.99,466.74,225
24.14,59.87,57.76,1018.47,444.04,226
30.08,67.25,53.09,1017.6,434.01,227
14.77,44.9,84.31,1020.5,465.23,228
27.6,69.34,71.58,1009.63,440.6,229
13.89,44.84,92.97,1023.66,466.74,230
26.85,75.6,74.55,1017.43,433.48,231
12.41,40.96,78.96,1023.36,473.59,232
13.08,41.74,64.44,1020.75,474.81,233
18.93,44.06,68.23,1017.58,454.75,234
20.5,49.69,70.81,1009.6,452.94,235
30.72,69.13,61.66,1009.94,435.83,236
7.55,39.22,77.76,1014.53,482.19,237
13.49,44.47,69.49,1030.46,466.66,238
15.62,40.12,96.26,1013.03,462.59,239
24.8,64.63,55.74,1020.69,447.82,240
10.03,41.62,95.61,1014.55,462.73,241
22.43,63.21,84.75,1012.06,447.98,242
14.95,39.31,75.3,1009.15,462.72,243
24.78,58.46,67.5,1016.82,442.42,244
23.2,48.41,80.92,1008.64,444.69,245
14.01,39.0,79.23,1016.73,466.7,246
19.4,64.63,81.1,1020.38,453.84,247
30.15,67.32,32.8,1013.83,436.92,248
6.91,36.08,84.31,1021.82,486.37,249
29.04,60.07,46.15,1015.42,440.43,250
26.02,63.07,53.96,1010.94,446.82,251
5.89,39.48,59.83,1005.11,484.91,252
26.52,71.64,75.3,1008.27,437.76,253
28.53,68.08,42.53,1013.27,438.91,254
16.59,39.54,70.58,1007.97,464.19,255
22.95,67.79,91.69,1009.89,442.19,256
23.96,47.43,63.55,1008.38,446.86,257
17.48,44.2,61.51,1018.89,457.15,258
6.69,43.65,69.55,1020.14,482.57,259
10.25,41.26,98.08,1007.44,476.03,260
28.87,72.58,79.34,1008.69,428.89,261
12.04,40.23,81.28,1018.07,472.7,262
22.58,52.3,78.99,1009.04,445.6,263
15.12,52.05,80.38,1014.63,464.78,264
25.48,58.95,51.16,1017.02,440.42,265
27.87,70.79,72.17,1003.96,428.41,266
23.72,70.47,75.39,1010.65,438.5,267
25.0,59.43,68.91,1007.84,438.28,268
8.42,40.64,96.38,1022.35,476.29,269
22.46,58.49,70.54,1011.5,448.46,270
29.92,57.19,45.8,1008.62,438.99,271
11.68,39.22,57.95,1017.9,471.8,272
14.04,42.44,81.89,1012.74,471.81,273
19.86,59.14,69.32,1016.12,449.82,274
25.99,68.08,59.14,1013.13,442.14,275
23.42,58.79,81.54,1009.74,441.46,276
10.6,40.22,85.81,1011.37,477.62,277
20.97,61.87,65.41,1011.45,446.76,278
14.14,39.82,81.15,1012.46,472.52,279
8.56,40.71,95.87,1021.27,471.58,280
24.86,72.39,90.24,1001.15,440.85,281
29.0,77.54,75.13,1011.33,431.37,282
27.59,71.97,88.22,1008.64,437.33,283
10.45,40.71,81.48,1015.68,469.22,284
8.51,40.78,89.84,1023.51,471.11,285
29.82,66.51,43.57,1010.98,439.17,286
22.56,62.26,63.16,1012.11,445.33,287
11.38,39.22,57.14,1018.62,473.71,288
20.25,57.76,77.76,1016.28,452.66,289
22.42,59.43,90.56,1007.12,440.99,290
14.85,38.91,60.98,1014.48,467.42,291
25.62,58.82,70.31,1010.02,444.14,292
19.85,56.53,74.05,1020.57,457.17,293
13.67,54.3,75.42,1015.92,467.87,294
24.39,70.72,82.25,1009.78,442.04,295
16.07,44.58,67.95,1019.52,471.36,296
11.6,39.1,100.09,1009.81,460.7,297
31.38,70.83,47.28,1010.35,431.33,298
29.91,76.86,72.41,998.59,432.6,299
19.67,59.39,77.67,1014.07,447.61,300
27.18,64.79,63.7,1016.27,443.87,301
21.39,52.3,79.77,1009.2,446.87,302
10.45,41.01,93.84,1020.57,465.74,303
19.46,56.89,84.95,1014.02,447.86,304
23.55,62.96,70.16,1020.16,447.65,305
23.35,63.47,84.24,1011.78,437.87,306
9.26,41.66,73.32,1016.87,483.51,307
10.3,41.46,86.17,1018.21,479.65,308
20.94,58.16,65.43,1016.88,455.16,309
23.13,71.25,94.59,1002.49,431.91,310
12.77,41.5,86.8,1014.13,470.68,311
28.29,69.13,58.18,1009.29,429.28,312
19.13,59.21,89.66,1018.32,450.81,313
24.44,73.5,87.39,1011.49,437.73,314
20.32,44.6,36.35,1015.16,460.21,315
20.54,69.05,79.62,1001.6,442.86,316
12.16,45.0,50.52,1021.51,482.99,317
28.09,65.27,51.96,1013.27,440.0,318
9.25,41.82,74.73,1033.25,478.48,319
21.75,49.82,78.33,1015.01,455.28,320
23.7,66.56,85.19,1002.07,436.94,321
16.22,37.87,83.13,1022.36,461.06,322
24.75,69.45,53.49,1013.97,438.28,323
10.48,39.58,88.86,1011.81,472.61,324
29.53,70.79,60.89,1003.7,426.85,325
12.59,39.72,61.14,1017.76,470.18,326
23.5,54.42,68.29,1012.31,455.38,327
29.01,66.56,57.62,1006.44,428.32,328
9.75,42.49,83.63,1010.57,480.35,329
19.55,56.53,78.1,1020.2,455.56,330
21.05,58.33,66.34,1013.14,447.66,331
24.72,68.67,79.02,1006.74,443.06,332
21.19,58.86,68.96,1014.19,452.43,333
10.77,41.54,71.13,1019.94,477.81,334
28.68,73.77,87.01,1004.72,431.66,335
29.87,73.91,74.3,1004.53,431.8,336
22.99,68.67,77.62,1006.65,446.67,337
24.66,60.29,59.56,1018.0,445.26,338
32.63,69.89,41.66,1013.85,425.72,339
31.38,72.29,73.27,1008.73,430.58,340
23.87,60.27,77.16,1018.94,439.86,341
25.6,59.15,67.02,1013.31,441.11,342
27.62,71.14,52.8,1011.6,434.72,343
30.1,67.45,39.04,1014.23,434.01,344
12.19,41.17,65.47,1019.43,475.64,345
13.11,41.58,74.32,1020.43,460.44,346
28.29,68.67,69.22,1005.46,436.4,347
13.45,40.73,93.88,1018.7,461.03,348
10.98,41.54,69.83,1019.94,479.08,349
26.48,69.14,84.11,1009.31,435.76,350
13.07,45.51,78.65,1015.22,460.14,351
25.56,75.6,69.31,1017.37,442.2,352
22.68,50.78,70.3,1008.83,447.69,353
28.86,73.67,68.23,1006.65,431.15,354
22.7,63.56,71.76,1014.32,445.0,355
27.89,73.21,85.88,1001.32,431.59,356
13.78,44.47,71.09,1027.94,467.22,357
28.14,51.43,52.67,1012.16,445.33,358
11.8,45.09,89.68,1013.21,470.57,359
10.71,39.61,73.66,1018.72,473.77,360
24.54,60.29,58.94,1017.42,447.67,361
11.54,40.05,87.05,1014.78,474.29,362
29.47,71.32,67.0,1008.07,437.14,363
29.24,69.05,43.18,1003.12,432.56,364
14.51,41.79,80.62,1009.72,459.14,365
22.91,60.07,59.72,1016.03,446.19,366
27.02,71.77,72.1,1006.38,428.1,367
13.49,44.47,69.15,1030.18,468.46,368
30.24,66.75,55.66,1017.95,435.02,369
23.19,48.6,61.19,1002.38,445.52,370
17.73,40.55,74.62,1003.36,462.69,371
18.62,61.27,73.35,1019.26,455.75,372
12.85,40.0,68.85,1015.89,463.74,373
32.33,69.68,39.89,1011.95,439.79,374
25.09,58.95,53.16,1016.99,443.26,375
29.45,69.13,52.97,1009.3,432.04,376
16.91,43.96,79.87,1013.32,465.86,377
14.09,45.87,84.09,1009.05,465.6,378
10.73,25.36,100.15,1009.35,469.43,379
23.2,49.3,79.77,1003.4,440.75,380
8.21,38.91,88.99,1015.82,481.32,381
9.3,40.56,76.14,1022.64,479.87,382
16.97,39.16,69.13,1005.7,458.59,383
23.69,71.97,93.03,1009.62,438.62,384
25.13,59.44,77.92,1012.38,445.59,385
9.86,43.56,74.89,1015.13,481.87,386
11.33,41.5,88.7,1013.58,475.01,387
26.95,48.41,62.94,1008.53,436.54,388
15.0,40.66,89.62,1016.28,456.63,389
20.76,62.52,81.04,1015.63,451.69,390
14.29,39.59,94.53,1010.93,463.04,391
19.74,67.71,64.02,1007.68,446.1,392
26.68,59.92,70.57,1009.94,438.67,393
14.24,41.4,70.32,1019.7,466.88,394
21.98,48.41,84.86,1008.42,444.6,395
22.75,59.39,81.41,1015.4,440.26,396
8.34,40.96,89.45,1023.28,483.92,397
11.8,41.2,82.71,1017.18,475.19,398
8.81,44.68,93.93,1023.06,479.24,399
30.05,73.68,70.6,1014.95,434.92,400
16.01,65.46,87.68,1014.0,454.16,401
21.75,58.79,87.58,1012.42,447.58,402
13.94,41.26,74.4,1021.67,467.9,403
29.25,69.13,67.35,1010.27,426.29,404
22.33,45.87,63.61,1007.8,447.02,405
16.43,41.79,76.89,1005.47,455.85,406
11.5,40.22,78.08,1010.31,476.46,407
23.53,68.94,69.17,1007.53,437.48,408
21.86,49.21,53.31,1014.61,452.77,409
6.17,39.33,93.32,1012.57,491.54,410
30.19,64.79,42.47,1017.22,438.41,411
11.67,41.93,82.58,1019.81,476.1,412
15.34,36.99,94.59,1007.87,464.58,413
11.5,40.78,86.31,1023.91,467.74,414
25.53,57.17,72.57,1010.0,442.12,415
21.27,57.5,80.76,1014.53,453.34,416
28.37,69.13,71.93,1010.44,425.29,417
28.39,51.43,47.54,1011.74,449.63,418
13.78,45.78,95.72,1025.27,462.88,419
14.6,42.32,77.03,1015.71,464.67,420
5.1,35.57,80.49,1027.17,489.96,421
7.0,38.08,77.67,1020.27,482.38,422
26.3,77.95,78.72,1009.45,437.95,423
30.56,71.98,58.77,1004.74,429.2,424
21.09,46.63,74.8,1013.03,453.34,425
28.21,70.02,51.34,1010.58,442.47,426
15.84,49.69,90.41,1015.14,462.6,427
10.03,40.96,91.1,1024.57,478.79,428
20.37,52.05,62.57,1012.34,456.11,429
21.19,50.16,84.27,1005.81,450.33,430
33.73,69.88,42.93,1007.21,434.83,431
29.87,73.68,40.96,1015.1,433.43,432
19.62,62.96,76.53,1020.76,456.02,433
9.93,40.67,69.74,1018.08,485.23,434
9.43,37.14,74.99,1013.03,473.57,435
14.24,39.58,70.45,1011.17,469.94,436
12.97,49.83,91.49,1008.69,452.07,437
7.6,41.04,88.97,1021.82,475.32,438
8.39,36.24,89.13,1013.39,480.69,439
25.41,48.06,46.52,1013.12,444.01,440
18.43,56.03,60.55,1020.41,465.17,441
10.31,39.82,88.71,1012.87,480.61,442
11.29,41.5,89.15,1013.39,476.04,443
22.61,49.3,83.02,1003.51,441.76,444
29.34,71.98,75.19,1005.19,428.24,445
18.87,67.71,87.35,1004.0,444.77,446
13.21,45.87,85.66,1008.58,463.1,447
11.3,44.6,91.66,1018.19,470.5,448
29.23,72.99,63.47,1007.04,431.0,449
27.76,69.4,72.25,1004.27,430.68,450
29.26,67.17,70.58,1006.6,436.42,451
25.72,49.82,60.1,1016.19,452.33,452
23.43,63.94,89.29,1010.64,440.16,453
25.6,63.76,67.43,1010.18,435.75,454
22.3,44.57,67.58,1008.48,449.74,455
27.91,72.24,70.8,1010.74,430.73,456
30.35,77.17,63.62,1009.55,432.75,457
21.78,47.43,66.68,1007.88,446.79,458
7.19,41.39,90.76,1018.12,486.35,459
20.88,59.8,75.34,1015.66,453.18,460
24.19,50.23,59.77,1015.73,458.31,461
9.98,41.54,80.79,1019.7,480.26,462
23.47,51.3,74.1,1011.89,448.65,463
26.35,49.5,41.34,1012.67,458.41,464
29.89,64.69,58.78,1006.37,435.39,465
19.29,50.16,97.78,1010.49,450.21,466
17.48,43.14,74.85,1018.68,459.59,467
25.21,75.6,69.84,1017.19,445.84,468
23.3,48.78,75.36,1018.17,441.08,469
15.42,37.85,85.8,1009.89,467.33,470
21.44,63.09,90.11,1016.56,444.19,471
29.45,68.27,61.63,1007.96,432.96,472
29.69,47.93,44.76,1002.85,438.09,473
15.52,36.99,89.7,1006.86,467.9,474
11.47,43.67,72.51,1012.68,475.72,475
9.77,34.69,74.98,1027.72,477.51,476
22.6,69.84,79.59,1006.37,435.13,477
8.24,39.61,78.42,1017.99,477.9,478
17.01,44.2,61.23,1019.18,457.26,479
19.64,44.6,47.56,1015.88,467.53,480
10.61,41.58,93.06,1021.08,465.15,481
12.04,40.1,89.65,1014.42,474.28,482
29.19,65.71,50.5,1013.85,444.49,483
21.75,45.09,44.84,1014.15,452.84,484
23.66,77.54,85.32,1008.5,435.38,485
27.05,75.33,82.94,1003.88,433.57,486
29.63,69.71,67.26,1009.04,435.27,487
18.2,39.63,79.05,1005.35,468.49,488
32.22,70.8,62.03,1009.9,433.07,489
26.88,73.56,94.36,1004.85,430.63,490
29.05,65.74,60.02,1013.29,440.74,491
8.9,39.96,95.46,1026.31,474.49,492
18.93,48.6,84.92,1005.72,449.74,493
27.49,63.76,62.8,1010.09,436.73,494
23.1,70.79,90.81,1006.53,434.58,495
11.22,43.13,80.9,1017.24,473.93,496
31.97,79.74,55.84,1007.03,435.99,497
13.32,43.22,75.3,1009.45,466.83,498
31.68,68.24,37.34,1005.29,427.22,499
23.69,63.77,79.5,1013.39,444.07,500
13.83,41.49,87.29,1020.11,469.57,501
18.32,66.51,81.5,1015.18,459.89,502
11.05,40.71,76.42,1024.91,479.59,503
22.03,64.69,75.75,1007.21,440.92,504
10.23,41.46,84.95,1020.45,480.87,505
23.92,66.54,62.37,1009.93,441.9,506
29.38,69.68,49.25,1011.35,430.2,507
17.35,42.86,74.16,1014.62,465.16,508
9.81,44.45,90.55,1021.19,471.32,509
4.97,40.64,94.28,1020.91,485.43,510
5.15,40.07,63.31,1012.27,495.35,511
21.54,58.49,78.9,1010.85,449.12,512
7.94,42.02,90.97,1006.22,480.53,513
18.77,50.66,87.34,1014.89,457.07,514
21.69,69.94,80.8,1010.7,443.67,515
10.07,44.68,90.95,1023.44,477.52,516
13.83,39.64,69.97,1012.52,472.95,517
10.45,39.69,89.45,1003.92,472.54,518
11.56,40.71,76.08,1015.85,469.17,519
23.64,70.04,83.35,1011.09,435.21,520
10.48,40.22,92.16,1004.81,477.78,521
13.09,39.85,58.42,1012.86,475.89,522
10.67,40.23,85.06,1017.75,483.9,523
12.57,39.16,88.91,1016.53,476.2,524
14.45,43.34,83.33,1015.47,462.16,525
14.22,37.85,88.49,1011.24,471.05,526
6.97,41.26,96.88,1010.6,484.71,527
20.61,63.86,73.86,1015.43,446.34,528
14.67,42.28,65.17,1007.21,469.02,529
29.06,72.86,69.41,1004.23,432.12,530
14.38,40.1,81.23,1015.51,467.28,531
32.51,69.98,54.07,1013.29,429.66,532
11.79,45.09,89.17,1013.16,469.49,533
8.65,40.56,78.85,1023.23,485.87,534
9.75,40.81,84.44,1026.0,481.95,535
9.11,40.02,83.02,1031.1,479.03,536
23.39,69.13,90.66,1010.99,434.5,537
14.3,54.3,75.29,1015.16,464.9,538
17.49,63.94,82.6,1020.02,452.71,539
31.1,69.51,45.4,1010.84,429.74,540
19.77,56.65,66.33,1020.67,457.09,541
28.61,72.29,45.33,1011.61,446.77,542
13.52,41.48,67.12,1014.46,460.76,543
13.52,40.83,84.14,1008.31,471.95,544
17.57,46.21,80.81,1014.09,453.29,545
28.18,60.07,49.13,1016.34,441.61,546
14.29,46.18,87.29,1017.01,464.73,547
18.12,43.69,52.95,1016.91,464.68,548
31.27,73.91,68.92,1003.72,430.59,549
26.24,77.95,85.21,1014.19,438.01,550
7.44,41.04,88.56,1021.84,479.08,551
29.78,74.78,55.09,1009.28,436.39,552
23.37,65.46,48.64,1016.25,447.07,553
10.62,39.58,87.85,1011.9,479.91,554
5.84,43.02,87.42,1013.88,489.05,555
14.51,53.82,62.75,1016.46,463.17,556
11.31,42.02,94.86,1001.18,471.26,557
11.25,40.67,63.54,1011.64,480.49,558
9.18,39.42,69.46,1025.41,473.78,559
19.82,58.16,74.66,1016.76,455.5,560
24.77,58.41,80.57,1013.78,446.27,561
9.66,41.06,84.7,1021.21,482.2,562
21.96,59.8,72.6,1016.72,452.48,563
18.59,43.14,52.63,1011.92,464.48,564
24.75,69.89,82.01,1015.29,438.1,565
24.37,63.47,75.22,1012.77,445.6,566
29.6,67.79,51.05,1010.37,442.43,567
25.32,61.25,80.1,1011.56,436.67,568
16.15,41.85,81.58,1016.54,466.56,569
15.74,71.14,65.94,1019.65,457.29,570
5.97,36.25,86.74,1029.65,487.03,571
15.84,52.72,62.57,1026.45,464.93,572
14.84,44.63,57.37,1019.28,466.0,573
12.25,48.79,88.91,1017.44,469.52,574
27.38,70.04,72.26,1011.18,428.88,575
8.76,41.48,74.98,1018.49,474.3,576
15.54,39.31,71.19,1009.69,461.06,577
18.71,39.39,62.82,1014.09,465.57,578
13.06,41.78,55.31,1012.3,467.67,579
12.72,40.71,71.57,1016.02,466.99,580
19.83,39.39,59.16,1013.73,463.72,581
27.23,49.16,40.8,1004.03,443.78,582
24.27,68.28,67.63,1005.43,445.23,583
11.8,40.66,97.2,1017.13,464.43,584
6.76,36.25,91.16,1028.31,484.36,585
25.99,63.07,64.81,1012.5,442.16,586
16.3,39.63,85.61,1004.64,464.11,587
16.5,49.39,93.42,1018.35,462.48,588
10.59,42.49,77.36,1009.59,477.49,589
26.05,65.59,67.03,1012.78,437.04,590
19.5,40.79,89.45,1003.8,457.09,591
22.21,45.01,54.84,1012.22,450.6,592
17.86,45.0,53.48,1023.25,465.78,593
29.96,70.04,54.47,1010.15,427.1,594
19.08,44.63,43.36,1020.14,459.81,595
23.59,47.43,48.92,1006.64,447.36,596
3.38,39.64,81.22,1011.0,488.92,597
26.39,66.49,60.35,1012.96,433.36,598
8.99,39.04,75.98,1021.99,483.35,599
10.91,41.04,74.24,1026.57,469.53,600
13.08,39.82,85.21,1012.27,476.96,601
23.95,58.46,68.46,1017.5,440.75,602
