feature_cylinders,feature_displacement,feature_weight,feature_model_year,feature_origin,intermediate_horsepower,intermediate_acceleration,target_mpg,ID_car_name
8,400.0,5140.0,71,1,175.0,12.0,13.0,pontiac safari (sw)
6,258.0,2962.0,71,1,110.0,13.5,18.0,amc hornet sportabout (sw)
4,140.0,2408.0,71,1,72.0,19.0,22.0,chevrolet vega (sw)
6,250.0,3282.0,71,1,100.0,15.0,19.0,pontiac firebird
6,250.0,3139.0,71,1,88.0,14.5,18.0,ford mustang
4,122.0,2220.0,71,1,86.0,14.0,23.0,mercury capri 2000
4,116.0,2123.0,71,2,90.0,14.0,28.0,opel 1900
4,79.0,2074.0,71,2,70.0,19.5,30.0,peugeot 304
4,88.0,2065.0,71,2,76.0,14.5,30.0,fiat 124b
4,71.0,1773.0,71,3,65.0,19.0,31.0,toyota corolla 1200
4,72.0,1613.0,71,3,69.0,18.0,35.0,datsun 1200
4,97.0,1834.0,71,2,60.0,19.0,27.0,volkswagen model 111
4,91.0,1955.0,71,1,70.0,20.5,26.0,plymouth cricket
4,113.0,2278.0,72,3,95.0,15.5,24.0,toyota corona hardtop
4,97.5,2126.0,72,1,80.0,17.0,25.0,dodge colt hardtop
4,97.0,2254.0,72,2,54.0,23.5,23.0,volkswagen type 3
4,140.0,2408.0,72,1,90.0,19.5,20.0,chevrolet vega
4,122.0,2226.0,72,1,86.0,16.5,21.0,ford pinto runabout
8,350.0,4274.0,72,1,165.0,12.0,13.0,chevrolet impala
8,400.0,4385.0,72,1,175.0,12.0,14.0,pontiac catalina
8,318.0,4135.0,72,1,150.0,13.5,15.0,plymouth fury iii
8,351.0,4129.0,72,1,153.0,13.0,14.0,ford galaxie 500
8,304.0,3672.0,72,1,150.0,11.5,17.0,amc ambassador sst
8,429.0,4633.0,72,1,208.0,11.0,11.0,mercury marquis
8,350.0,4502.0,72,1,155.0,13.5,13.0,buick lesabre custom
8,350.0,4456.0,72,1,160.0,13.5,12.0,oldsmobile delta 88 royale
8,400.0,4422.0,72,1,190.0,12.5,13.0,chrysler newport royal
3,70.0,2330.0,72,3,97.0,13.5,19.0,mazda rx2 coupe
8,304.0,3892.0,72,1,150.0,12.5,15.0,amc matador (sw)
8,307.0,4098.0,72,1,130.0,14.0,13.0,chevrolet chevelle concours (sw)
8,302.0,4294.0,72,1,140.0,16.0,13.0,ford gran torino (sw)
8,318.0,4077.0,72,1,150.0,14.0,14.0,plymouth satellite custom (sw)
4,121.0,2933.0,72,2,112.0,14.5,18.0,volvo 145e (sw)
4,121.0,2511.0,72,2,76.0,18.0,22.0,volkswagen 411 (sw)
4,120.0,2979.0,72,2,87.0,19.5,21.0,peugeot 504 (sw)
4,96.0,2189.0,72,2,69.0,18.0,26.0,renault 12 (sw)
4,122.0,2395.0,72,1,86.0,16.0,22.0,ford pinto (sw)
4,97.0,2288.0,72,3,92.0,17.0,28.0,datsun 510 (sw)
4,120.0,2506.0,72,3,97.0,14.5,23.0,toyouta corona mark ii (sw)
4,98.0,2164.0,72,1,80.0,15.0,28.0,dodge colt (sw)
4,97.0,2100.0,72,3,88.0,16.5,27.0,toyota corolla 1600 (sw)
8,350.0,4100.0,73,1,175.0,13.0,13.0,buick century 350
8,304.0,3672.0,73,1,150.0,11.5,14.0,amc matador
8,350.0,3988.0,73,1,145.0,13.0,13.0,chevrolet malibu
8,302.0,4042.0,73,1,137.0,14.5,14.0,ford gran torino
8,318.0,3777.0,73,1,150.0,12.5,15.0,dodge coronet custom
8,429.0,4952.0,73,1,198.0,11.5,12.0,mercury marquis brougham
8,400.0,4464.0,73,1,150.0,12.0,13.0,chevrolet caprice classic
8,351.0,4363.0,73,1,158.0,13.0,13.0,ford ltd
8,318.0,4237.0,73,1,150.0,14.5,14.0,plymouth fury gran sedan
8,440.0,4735.0,73,1,215.0,11.0,13.0,chrysler new yorker brougham
8,455.0,4951.0,73,1,225.0,11.0,12.0,buick electra 225 custom
8,360.0,3821.0,73,1,175.0,11.0,13.0,amc ambassador brougham
6,225.0,3121.0,73,1,105.0,16.5,18.0,plymouth valiant
6,250.0,3278.0,73,1,100.0,18.0,16.0,chevrolet nova custom
6,232.0,2945.0,73,1,100.0,16.0,18.0,amc hornet
6,250.0,3021.0,73,1,88.0,16.5,18.0,ford maverick
6,198.0,2904.0,73,1,95.0,16.0,23.0,plymouth duster
4,97.0,1950.0,73,2,46.0,21.0,26.0,volkswagen super beetle
8,400.0,4997.0,73,1,150.0,14.0,11.0,chevrolet impala
8,400.0,4906.0,73,1,167.0,12.5,12.0,ford country
8,360.0,4654.0,73,1,170.0,13.0,13.0,plymouth custom suburb
8,350.0,4499.0,73,1,180.0,12.5,12.0,oldsmobile vista cruiser
6,232.0,2789.0,73,1,100.0,15.0,18.0,amc gremlin
4,97.0,2279.0,73,3,88.0,19.0,20.0,toyota carina
4,140.0,2401.0,73,1,72.0,19.5,21.0,chevrolet vega
4,108.0,2379.0,73,3,94.0,16.5,22.0,datsun 610
3,70.0,2124.0,73,3,90.0,13.5,18.0,maxda rx3
4,122.0,2310.0,73,1,85.0,18.5,19.0,ford pinto
6,155.0,2472.0,73,1,107.0,14.0,21.0,mercury capri v6
4,98.0,2265.0,73,2,90.0,15.5,26.0,fiat 124 sport coupe
8,350.0,4082.0,73,1,145.0,13.0,15.0,chevrolet monte carlo s
8,400.0,4278.0,73,1,230.0,9.5,16.0,pontiac grand prix
4,68.0,1867.0,73,2,49.0,19.5,29.0,fiat 128
4,116.0,2158.0,73,2,75.0,15.5,24.0,opel manta
4,114.0,2582.0,73,2,91.0,14.0,20.0,audi 100ls
4,121.0,2868.0,73,2,112.0,15.5,19.0,volvo 144ea
8,318.0,3399.0,73,1,150.0,11.0,15.0,dodge dart custom
4,121.0,2660.0,73,2,110.0,14.0,24.0,saab 99le
6,156.0,2807.0,73,3,122.0,13.5,20.0,toyota mark ii
8,350.0,3664.0,73,1,180.0,11.0,11.0,oldsmobile omega
6,198.0,3102.0,74,1,95.0,16.5,20.0,plymouth duster
6,200.0,2875.0,74,1,,17.0,21.0,ford maverick
6,232.0,2901.0,74,1,100.0,16.0,19.0,amc hornet
6,250.0,3336.0,74,1,100.0,17.0,15.0,chevrolet nova
4,79.0,1950.0,74,3,67.0,19.0,31.0,datsun b210
4,122.0,2451.0,74,1,80.0,16.5,26.0,ford pinto
4,71.0,1836.0,74,3,65.0,21.0,32.0,toyota corolla 1200
4,140.0,2542.0,74,1,75.0,17.0,25.0,chevrolet vega
6,250.0,3781.0,74,1,100.0,17.0,16.0,chevrolet chevelle malibu classic
6,258.0,3632.0,74,1,110.0,18.0,16.0,amc matador
6,225.0,3613.0,74,1,105.0,16.5,18.0,plymouth satellite sebring
8,302.0,4141.0,74,1,140.0,14.0,16.0,ford gran torino
8,350.0,4699.0,74,1,150.0,14.5,13.0,buick century luxus (sw)
8,318.0,4457.0,74,1,150.0,13.5,14.0,dodge coronet custom (sw)
8,302.0,4638.0,74,1,140.0,16.0,14.0,ford gran torino (sw)
8,304.0,4257.0,74,1,150.0,15.5,14.0,amc matador (sw)
4,98.0,2219.0,74,2,83.0,16.5,29.0,audi fox
4,79.0,1963.0,74,2,67.0,15.5,26.0,volkswagen dasher
4,97.0,2300.0,74,2,78.0,14.5,26.0,opel manta
4,76.0,1649.0,74,3,52.0,16.5,31.0,toyota corona
4,83.0,2003.0,74,3,61.0,19.0,32.0,datsun 710
4,90.0,2125.0,74,1,75.0,14.5,28.0,dodge colt
4,90.0,2108.0,74,2,75.0,15.5,24.0,fiat 128
4,116.0,2246.0,74,2,75.0,14.0,26.0,fiat 124 tc
4,120.0,2489.0,74,3,97.0,15.0,24.0,honda civic
4,108.0,2391.0,74,3,93.0,15.5,26.0,subaru
4,79.0,2000.0,74,2,67.0,16.0,31.0,fiat x1.9
6,225.0,3264.0,75,1,95.0,16.0,19.0,plymouth valiant custom
6,250.0,3459.0,75,1,105.0,16.0,18.0,chevrolet nova
6,250.0,3432.0,75,1,72.0,21.0,15.0,mercury monarch
6,250.0,3158.0,75,1,72.0,19.5,15.0,ford maverick
8,400.0,4668.0,75,1,170.0,11.5,16.0,pontiac catalina
8,350.0,4440.0,75,1,145.0,14.0,15.0,chevrolet bel air
8,318.0,4498.0,75,1,150.0,14.5,16.0,plymouth grand fury
8,351.0,4657.0,75,1,148.0,13.5,14.0,ford ltd
6,231.0,3907.0,75,1,110.0,21.0,17.0,buick century
6,250.0,3897.0,75,1,105.0,18.5,16.0,chevroelt chevelle malibu
6,258.0,3730.0,75,1,110.0,19.0,15.0,amc matador
6,225.0,3785.0,75,1,95.0,19.0,18.0,plymouth fury
6,231.0,3039.0,75,1,110.0,15.0,21.0,buick skyhawk
8,262.0,3221.0,75,1,110.0,13.5,20.0,chevrolet monza 2+2
8,302.0,3169.0,75,1,129.0,12.0,13.0,ford mustang ii
4,97.0,2171.0,75,3,75.0,16.0,29.0,toyota corolla
4,140.0,2639.0,75,1,83.0,17.0,23.0,ford pinto
6,232.0,2914.0,75,1,100.0,16.0,20.0,amc gremlin
4,140.0,2592.0,75,1,78.0,18.5,23.0,pontiac astro
4,134.0,2702.0,75,3,96.0,13.5,24.0,toyota corona
4,90.0,2223.0,75,2,71.0,16.5,25.0,volkswagen dasher
4,119.0,2545.0,75,3,97.0,17.0,24.0,datsun 710
6,171.0,2984.0,75,1,97.0,14.5,18.0,ford pinto
4,90.0,1937.0,75,2,70.0,14.0,29.0,volkswagen rabbit
6,232.0,3211.0,75,1,90.0,17.0,19.0,amc pacer
4,115.0,2694.0,75,2,95.0,15.0,23.0,audi 100ls
4,120.0,2957.0,75,2,88.0,17.0,23.0,peugeot 504
4,121.0,2945.0,75,2,98.0,14.5,22.0,volvo 244dl
4,121.0,2671.0,75,2,115.0,13.5,25.0,saab 99le
4,91.0,1795.0,75,3,53.0,17.5,33.0,honda civic cvcc
4,107.0,2464.0,76,2,86.0,15.5,28.0,fiat 131
4,116.0,2220.0,76,2,81.0,16.9,25.0,opel 1900
4,140.0,2572.0,76,1,92.0,14.9,25.0,capri ii
4,98.0,2255.0,76,1,79.0,17.7,26.0,dodge colt
4,101.0,2202.0,76,2,83.0,15.3,27.0,renault 12tl
8,305.0,4215.0,76,1,140.0,13.0,17.5,chevrolet chevelle malibu classic
8,318.0,4190.0,76,1,150.0,13.0,16.0,dodge coronet brougham
8,304.0,3962.0,76,1,120.0,13.9,15.5,amc matador
8,351.0,4215.0,76,1,152.0,12.8,14.5,ford gran torino
6,225.0,3233.0,76,1,100.0,15.4,22.0,plymouth valiant
6,250.0,3353.0,76,1,105.0,14.5,22.0,chevrolet nova
6,200.0,3012.0,76,1,81.0,17.6,24.0,ford maverick
6,232.0,3085.0,76,1,90.0,17.6,22.5,amc hornet
4,85.0,2035.0,76,1,52.0,22.2,29.0,chevrolet chevette
4,98.0,2164.0,76,1,60.0,22.1,24.5,chevrolet woody
4,90.0,1937.0,76,2,70.0,14.2,29.0,vw rabbit
4,91.0,1795.0,76,3,53.0,17.4,33.0,honda civic
6,225.0,3651.0,76,1,100.0,17.7,20.0,dodge aspen se
6,250.0,3574.0,76,1,78.0,21.0,18.0,ford granada ghia
6,250.0,3645.0,76,1,110.0,16.2,18.5,pontiac ventura sj
6,258.0,3193.0,76,1,95.0,17.8,17.5,amc pacer d/l
4,97.0,1825.0,76,2,71.0,12.2,29.5,volkswagen rabbit
4,85.0,1990.0,76,3,70.0,17.0,32.0,datsun b-210
4,97.0,2155.0,76,3,75.0,16.4,28.0,toyota corolla
4,140.0,2565.0,76,1,72.0,13.6,26.5,ford pinto
4,130.0,3150.0,76,2,102.0,15.7,20.0,volvo 245
8,318.0,3940.0,76,1,150.0,13.2,13.0,plymouth volare premier v8
4,120.0,3270.0,76,2,88.0,21.9,19.0,peugeot 504
6,156.0,2930.0,76,3,108.0,15.5,19.0,toyota mark ii
6,168.0,3820.0,76,2,120.0,16.7,16.5,mercedes-benz 280s
8,350.0,4380.0,76,1,180.0,12.1,16.5,cadillac seville
8,350.0,4055.0,76,1,145.0,12.0,13.0,chevy c10
8,302.0,3870.0,76,1,130.0,15.0,13.0,ford f108
8,318.0,3755.0,76,1,150.0,14.0,13.0,dodge d100
4,98.0,2045.0,77,3,68.0,18.5,31.5,honda accord cvcc
4,111.0,2155.0,77,1,80.0,14.8,30.0,buick opel isuzu deluxe
4,79.0,1825.0,77,2,58.0,18.6,36.0,renault 5 gtl
4,122.0,2300.0,77,1,96.0,15.5,25.5,plymouth arrow gs
4,85.0,1945.0,77,3,70.0,16.8,33.5,datsun f-10 hatchback
8,305.0,3880.0,77,1,145.0,12.5,17.5,chevrolet caprice classic
8,260.0,4060.0,77,1,110.0,19.0,17.0,oldsmobile cutlass supreme
8,318.0,4140.0,77,1,145.0,13.7,15.5,dodge monaco brougham
8,302.0,4295.0,77,1,130.0,14.9,15.0,mercury cougar brougham
6,250.0,3520.0,77,1,110.0,16.4,17.5,chevrolet concours
6,231.0,3425.0,77,1,105.0,16.9,20.5,buick skylark
6,225.0,3630.0,77,1,100.0,17.7,19.0,plymouth volare custom
6,250.0,3525.0,77,1,98.0,19.0,18.5,ford granada
8,400.0,4220.0,77,1,180.0,11.1,16.0,pontiac grand prix lj
8,350.0,4165.0,77,1,170.0,11.4,15.5,chevrolet monte carlo landau
8,400.0,4325.0,77,1,190.0,12.2,15.5,chrysler cordoba
8,351.0,4335.0,77,1,149.0,14.5,16.0,ford thunderbird
4,97.0,1940.0,77,2,78.0,14.5,29.0,volkswagen rabbit custom
4,151.0,2740.0,77,1,88.0,16.0,24.5,pontiac sunbird coupe
4,97.0,2265.0,77,3,75.0,18.2,26.0,toyota corolla liftback
4,140.0,2755.0,77,1,89.0,15.8,25.5,ford mustang ii 2+2
4,98.0,2051.0,77,1,63.0,17.0,30.5,chevrolet chevette
4,98.0,2075.0,77,1,83.0,15.9,33.5,dodge colt m/m
4,97.0,1985.0,77,3,67.0,16.4,30.0,subaru dl
4,97.0,2190.0,77,2,78.0,14.1,30.5,volkswagen dasher
6,146.0,2815.0,77,3,97.0,14.5,22.0,datsun 810
4,121.0,2600.0,77,2,110.0,12.8,21.5,bmw 320i
3,80.0,2720.0,77,3,110.0,13.5,21.5,mazda rx-4
4,90.0,1985.0,78,2,48.0,21.5,43.1,volkswagen rabbit custom diesel
4,98.0,1800.0,78,1,66.0,14.4,36.1,ford fiesta
4,78.0,1985.0,78,3,52.0,19.4,32.8,mazda glc deluxe
4,85.0,2070.0,78,3,70.0,18.6,39.4,datsun b210 gx
4,91.0,1800.0,78,3,60.0,16.4,36.1,honda civic cvcc
8,260.0,3365.0,78,1,110.0,15.5,19.9,oldsmobile cutlass salon brougham
8,318.0,3735.0,78,1,140.0,13.2,19.4,dodge diplomat
8,302.0,3570.0,78,1,139.0,12.8,20.2,mercury monarch ghia
6,231.0,3535.0,78,1,105.0,19.2,19.2,pontiac phoenix lj
6,200.0,3155.0,78,1,95.0,18.2,20.5,chevrolet malibu
6,200.0,2965.0,78,1,85.0,15.8,20.2,ford fairmont (auto)
4,140.0,2720.0,78,1,88.0,15.4,25.1,ford fairmont (man)
6,225.0,3430.0,78,1,100.0,17.2,20.5,plymouth volare
6,232.0,3210.0,78,1,90.0,17.2,19.4,amc concord
6,231.0,3380.0,78,1,105.0,15.8,20.6,buick century special
6,200.0,3070.0,78,1,85.0,16.7,20.8,mercury zephyr
6,225.0,3620.0,78,1,110.0,18.7,18.6,dodge aspen
6,258.0,3410.0,78,1,120.0,15.1,18.1,amc concord d/l
8,305.0,3425.0,78,1,145.0,13.2,19.2,chevrolet monte carlo landau
6,231.0,3445.0,78,1,165.0,13.4,17.7,buick regal sport coupe (turbo)
8,302.0,3205.0,78,1,139.0,11.2,18.1,ford futura
8,318.0,4080.0,78,1,140.0,13.7,17.5,dodge magnum xe
4,98.0,2155.0,78,1,68.0,16.5,30.0,chevrolet chevette
4,134.0,2560.0,78,3,95.0,14.2,27.5,toyota corona
4,119.0,2300.0,78,3,97.0,14.7,27.2,datsun 510
4,105.0,2230.0,78,1,75.0,14.5,30.9,dodge omni
4,134.0,2515.0,78,3,95.0,14.8,21.1,toyota celica gt liftback
4,156.0,2745.0,78,1,105.0,16.7,23.2,plymouth sapporo
4,151.0,2855.0,78,1,85.0,17.6,23.8,oldsmobile starfire sx
4,119.0,2405.0,78,3,97.0,14.9,23.9,datsun 200-sx
5,131.0,2830.0,78,2,103.0,15.9,20.3,audi 5000
6,163.0,3140.0,78,2,125.0,13.6,17.0,volvo 264gl
4,121.0,2795.0,78,2,115.0,15.7,21.6,saab 99gle
6,163.0,3410.0,78,2,133.0,15.8,16.2,peugeot 604sl
4,89.0,1990.0,78,2,71.0,14.9,31.5,volkswagen scirocco
4,98.0,2135.0,78,3,68.0,16.6,29.5,honda accord lx
6,231.0,3245.0,79,1,115.0,15.4,21.5,pontiac lemans v6
6,200.0,2990.0,79,1,85.0,18.2,19.8,mercury zephyr 6
4,140.0,2890.0,79,1,88.0,17.3,22.3,ford fairmont 4
6,232.0,3265.0,79,1,90.0,18.2,20.2,amc concord dl 6
6,225.0,3360.0,79,1,110.0,16.6,20.6,dodge aspen 6
8,305.0,3840.0,79,1,130.0,15.4,17.0,chevrolet caprice classic
8,302.0,3725.0,79,1,129.0,13.4,17.6,ford ltd landau
8,351.0,3955.0,79,1,138.0,13.2,16.5,mercury grand marquis
8,318.0,3830.0,79,1,135.0,15.2,18.2,dodge st. regis
8,350.0,4360.0,79,1,155.0,14.9,16.9,buick estate wagon (sw)
8,351.0,4054.0,79,1,142.0,14.3,15.5,ford country squire (sw)
8,267.0,3605.0,79,1,125.0,15.0,19.2,chevrolet malibu classic (sw)
8,360.0,3940.0,79,1,150.0,13.0,18.5,chrysler lebaron town @ country (sw)
4,89.0,1925.0,79,2,71.0,14.0,31.9,vw rabbit custom
4,86.0,1975.0,79,3,65.0,15.2,34.1,maxda glc deluxe
4,98.0,1915.0,79,1,80.0,14.4,35.7,dodge colt hatchback custom
4,121.0,2670.0,79,1,80.0,15.0,27.4,amc spirit dl
5,183.0,3530.0,79,2,77.0,20.1,25.4,mercedes benz 300d
8,350.0,3900.0,79,1,125.0,17.4,23.0,cadillac eldorado
4,141.0,3190.0,79,2,71.0,24.8,27.2,peugeot 504
8,260.0,3420.0,79,1,90.0,22.2,23.9,oldsmobile cutlass salon brougham
4,105.0,2200.0,79,1,70.0,13.2,34.2,plymouth horizon
4,105.0,2150.0,79,1,70.0,14.9,34.5,plymouth horizon tc3
4,85.0,2020.0,79,3,65.0,19.2,31.8,datsun 210
4,91.0,2130.0,79,2,69.0,14.7,37.3,fiat strada custom
4,151.0,2670.0,79,1,90.0,16.0,28.4,buick skylark limited
6,173.0,2595.0,79,1,115.0,11.3,28.8,chevrolet citation
6,173.0,2700.0,79,1,115.0,12.9,26.8,oldsmobile omega brougham
4,151.0,2556.0,79,1,90.0,13.2,33.5,pontiac phoenix
4,98.0,2144.0,80,2,76.0,14.7,41.5,vw rabbit
4,89.0,1968.0,80,3,60.0,18.8,38.1,toyota corolla tercel
4,98.0,2120.0,80,1,70.0,15.5,32.1,chevrolet chevette
4,86.0,2019.0,80,3,65.0,16.4,37.2,datsun 310
4,151.0,2678.0,80,1,90.0,16.5,28.0,chevrolet citation
4,140.0,2870.0,80,1,88.0,18.1,26.4,ford fairmont
4,151.0,3003.0,80,1,90.0,20.1,24.3,amc concord
6,225.0,3381.0,80,1,90.0,18.7,19.1,dodge aspen
4,97.0,2188.0,80,2,78.0,15.8,34.3,audi 4000
4,134.0,2711.0,80,3,90.0,15.5,29.8,toyota corona liftback
4,120.0,2542.0,80,3,75.0,17.5,31.3,mazda 626
4,119.0,2434.0,80,3,92.0,15.0,37.0,datsun 510 hatchback
4,108.0,2265.0,80,3,75.0,15.2,32.2,toyota corolla
4,86.0,2110.0,80,3,65.0,17.9,46.6,mazda glc
4,156.0,2800.0,80,1,105.0,14.4,27.9,dodge colt
4,85.0,2110.0,80,3,65.0,19.2,40.8,datsun 210
4,90.0,2085.0,80,2,48.0,21.7,44.3,vw rabbit c (diesel)
4,90.0,2335.0,80,2,48.0,23.7,43.4,vw dasher (diesel)
5,121.0,2950.0,80,2,67.0,19.9,36.4,audi 5000s (diesel)
4,146.0,3250.0,80,2,67.0,21.8,30.0,mercedes-benz 240d
4,91.0,1850.0,80,3,67.0,13.8,44.6,honda civic 1500 gl
4,85.0,1835.0,80,2,,17.3,40.9,renault lecar deluxe
4,97.0,2145.0,80,3,67.0,18.0,33.8,subaru dl
4,89.0,1845.0,80,2,62.0,15.3,29.8,vokswagen rabbit
6,168.0,2910.0,80,3,132.0,11.4,32.7,datsun 280-zx
3,70.0,2420.0,80,3,100.0,12.5,23.7,mazda rx-7 gs
4,122.0,2500.0,80,2,88.0,15.1,35.0,triumph tr7 coupe
4,140.0,2905.0,80,1,,14.3,23.6,ford mustang cobra
4,107.0,2290.0,80,3,72.0,17.0,32.4,honda accord
4,135.0,2490.0,81,1,84.0,15.7,27.2,plymouth reliant
4,151.0,2635.0,81,1,84.0,16.4,26.6,buick skylark
4,156.0,2620.0,81,1,92.0,14.4,25.8,dodge aries wagon (sw)
6,173.0,2725.0,81,1,110.0,12.6,23.5,chevrolet citation
4,135.0,2385.0,81,1,84.0,12.9,30.0,plymouth reliant
4,79.0,1755.0,81,3,58.0,16.9,39.1,toyota starlet
4,86.0,1875.0,81,1,64.0,16.4,39.0,plymouth champ
4,81.0,1760.0,81,3,60.0,16.1,35.1,honda civic 1300
4,97.0,2065.0,81,3,67.0,17.8,32.3,subaru
4,85.0,1975.0,81,3,65.0,19.4,37.0,datsun 210 mpg
4,89.0,2050.0,81,3,62.0,17.3,37.7,toyota tercel
4,91.0,1985.0,81,3,68.0,16.0,34.1,mazda glc 4
4,105.0,2215.0,81,1,63.0,14.9,34.7,plymouth horizon 4
4,98.0,2045.0,81,1,65.0,16.2,34.4,ford escort 4w
4,98.0,2380.0,81,1,65.0,20.7,29.9,ford escort 2h
4,105.0,2190.0,81,2,74.0,14.2,33.0,volkswagen jetta
4,100.0,2320.0,81,2,,15.8,34.5,renault 18i
4,107.0,2210.0,81,3,75.0,14.4,33.7,honda prelude
4,108.0,2350.0,81,3,75.0,16.8,32.4,toyota corolla
4,119.0,2615.0,81,3,100.0,14.8,32.9,datsun 200sx
4,120.0,2635.0,81,3,74.0,18.3,31.6,mazda 626
4,141.0,3230.0,81,2,80.0,20.4,28.1,peugeot 505s turbo diesel
6,145.0,3160.0,81,2,76.0,19.6,30.7,volvo diesel
6,168.0,2900.0,81,3,116.0,12.6,25.4,toyota cressida
6,146.0,2930.0,81,3,120.0,13.8,24.2,datsun 810 maxima
6,231.0,3415.0,81,1,110.0,15.8,22.4,buick century
8,350.0,3725.0,81,1,105.0,19.0,26.6,oldsmobile cutlass ls
6,200.0,3060.0,81,1,88.0,17.1,20.2,ford granada gl
6,225.0,3465.0,81,1,85.0,16.6,17.6,chrysler lebaron salon
4,112.0,2605.0,82,1,88.0,19.6,28.0,chevrolet cavalier
4,112.0,2640.0,82,1,88.0,18.6,27.0,chevrolet cavalier wagon
4,112.0,2395.0,82,1,88.0,18.0,34.0,chevrolet cavalier 2-door
4,112.0,2575.0,82,1,85.0,16.2,31.0,pontiac j2000 se hatchback
4,135.0,2525.0,82,1,84.0,16.0,29.0,dodge aries se
4,151.0,2735.0,82,1,90.0,18.0,27.0,pontiac phoenix
4,140.0,2865.0,82,1,92.0,16.4,24.0,ford fairmont futura
4,151.0,3035.0,82,1,,20.5,23.0,amc concord dl
4,105.0,1980.0,82,2,74.0,15.3,36.0,volkswagen rabbit l
4,91.0,2025.0,82,3,68.0,18.2,37.0,mazda glc custom l
4,91.0,1970.0,82,3,68.0,17.6,31.0,mazda glc custom
4,105.0,2125.0,82,1,63.0,14.7,38.0,plymouth horizon miser
4,98.0,2125.0,82,1,70.0,17.3,36.0,mercury lynx l
4,120.0,2160.0,82,3,88.0,14.5,36.0,nissan stanza xe
4,107.0,2205.0,82,3,75.0,14.5,36.0,honda accord
4,108.0,2245.0,82,3,70.0,16.9,34.0,toyota corolla
4,91.0,1965.0,82,3,67.0,15.0,38.0,honda civic
4,91.0,1965.0,82,3,67.0,15.7,32.0,honda civic (auto)
4,91.0,1995.0,82,3,67.0,16.2,38.0,datsun 310 gx
6,181.0,2945.0,82,1,110.0,16.4,25.0,buick century limited
6,262.0,3015.0,82,1,85.0,17.0,38.0,oldsmobile cutlass ciera (diesel)
4,156.0,2585.0,82,1,92.0,14.5,26.0,chrysler lebaron medallion
